iteration,coverage,redundancy,affinity,time
0,0.827695,0.202984,1.251079,0.117498
1,0.829166,0.198151,1.242524,0.303713
2,0.839462,0.187014,1.224531,0.489698
3,0.840303,0.191217,1.235559,0.676400
4,0.847447,0.192057,1.228862,0.862353
5,0.847237,0.196890,1.240327,1.049746
6,0.849338,0.198361,1.236022,1.236236
7,0.852070,0.205505,1.243650,1.423059
8,0.927716,0.427401,1.513250,1.637255
9,0.936331,0.439588,1.546903,1.948739
10,0.936331,0.445682,1.567774,2.266153
11,0.937802,0.453036,1.580999,2.584551
12,0.936751,0.447783,1.587035,2.900616
13,0.932549,0.443791,1.588328,3.212729
14,0.935911,0.444211,1.591154,3.522284
15,0.933810,0.437907,1.589109,3.835175
16,0.934650,0.440639,1.595773,4.147494
17,0.935911,0.441269,1.596767,4.461168
18,0.932129,0.440639,1.597385,4.779559
19,0.928346,0.429502,1.583748,5.103730
20,0.927926,0.421517,1.576766,5.416053
21,0.918260,0.414793,1.576888,5.728513
22,0.908594,0.402185,1.564292,6.041493
23,0.908804,0.394411,1.555376,6.352053
24,0.920361,0.382854,1.537671,6.673007
25,0.926875,0.370876,1.522784,6.988805
26,0.938222,0.372767,1.516461,7.299247
27,0.942845,0.372767,1.514152,7.614628
28,0.943476,0.376129,1.521158,7.924685
29,0.945157,0.375709,1.523788,8.248635
30,0.972893,0.463123,1.837365,8.575612
31,0.967850,0.467115,1.871689,8.909194
32,0.960496,0.465224,1.898709,9.245343
33,0.954402,0.469636,1.920299,9.579643
34,0.945157,0.465014,1.923522,9.914200
35,0.954192,0.466064,1.918300,10.246806
36,0.962597,0.467745,1.911155,10.581255
37,0.967640,0.466274,1.916612,10.916504
38,0.961336,0.467535,1.923716,11.250201
39,0.957764,0.463123,1.924748,11.583723
40,0.954822,0.462702,1.922315,11.917706
41,0.952511,0.459971,1.924774,12.251705
42,0.943476,0.456188,1.922049,12.584658
43,0.942845,0.453036,1.912191,12.916974
44,0.936541,0.448834,1.905766,13.250193
45,0.933179,0.445892,1.900023,13.581382
46,0.934650,0.445262,1.889838,13.912102
47,0.935911,0.437907,1.876740,14.241770
48,0.937592,0.443791,1.871582,14.572155
49,0.940324,0.438538,1.856536,14.901097
50,0.944526,0.436226,1.844939,15.231005
51,0.948308,0.438327,1.833370,15.562038
52,0.964488,0.518806,2.025272,15.905226
53,0.967640,0.513553,2.000434,16.278826
54,0.968901,0.515655,1.976361,16.653832
55,0.968901,0.511872,1.967469,17.032049
56,0.971633,0.509981,1.951557,17.414458
57,0.970372,0.500105,1.933954,17.798556
58,0.967010,0.500105,1.930030,18.164423
59,0.970582,0.496533,1.913185,18.537854
60,0.968691,0.490229,1.899783,18.903528
61,0.968481,0.491070,1.903450,19.273053
62,0.970162,0.493591,1.893654,19.647472
63,0.970792,0.490229,1.888961,20.018214
64,0.970582,0.487708,1.877679,20.392164
65,0.969531,0.487287,1.874512,20.780657
66,0.971002,0.484766,1.874486,21.162841
67,0.971633,0.487497,1.867863,21.538720
68,0.972473,0.487077,1.866033,21.929316
69,0.971002,0.484135,1.866263,22.306077
70,0.970582,0.487287,1.864689,22.674856
71,0.970372,0.490229,1.875271,23.051853
72,0.969321,0.489599,1.870800,23.427233
73,0.970792,0.486657,1.866883,23.801057
74,0.970162,0.488128,1.867013,24.179380
75,0.968481,0.489389,1.869820,24.552656
76,0.968901,0.491490,1.870527,24.929283
77,0.969952,0.494852,1.871967,25.306872
78,0.969111,0.493381,1.869471,25.691011
79,0.969742,0.498634,1.877790,26.065617
80,0.974785,0.558100,2.110153,26.456190
81,0.972683,0.551376,2.114280,26.877924
82,0.974154,0.558521,2.117774,27.298419
83,0.978357,0.570918,2.121134,27.717070
84,0.974785,0.569657,2.115542,28.225037
85,0.972263,0.573860,2.118651,28.644702
86,0.971633,0.573020,2.117215,29.062928
87,0.973314,0.572599,2.124352,29.482313
88,0.974154,0.577432,2.125539,29.901677
89,0.975205,0.579744,2.127774,30.319954
90,0.973104,0.583736,2.134096,30.827802
91,0.972053,0.583526,2.140078,31.244850
92,0.973314,0.592141,2.140544,31.681369
93,0.975415,0.598235,2.152736,32.111425
94,0.973734,0.598025,2.163358,32.627694
95,0.974574,0.607901,2.174213,33.058849
96,0.976676,0.607691,2.176850,33.498208
97,0.978147,0.611893,2.183673,34.011218
98,0.977306,0.613784,2.186842,34.539711
99,0.977096,0.617146,2.186237,35.061967
100,0.975205,0.616306,2.193062,35.579568
101,0.978357,0.614625,2.185137,36.096090
102,0.978777,0.618197,2.197510,36.614412
103,0.976676,0.613995,2.194277,37.134375
104,0.977726,0.618617,2.193209,37.651964
105,0.976256,0.618827,2.191778,38.168880
106,0.975415,0.622190,2.193451,38.688208
107,0.977726,0.629754,2.199226,39.205435
108,0.980248,0.705190,2.592926,39.746767
