Timestep,CoverageScore
0,0.8277
1,0.8292
2,0.8395
3,0.8403
4,0.8474
5,0.8472
6,0.8493
7,0.8521
8,0.9277
9,0.9363
10,0.9363
11,0.9378
12,0.9368
13,0.9325
14,0.9359
15,0.9338
16,0.9347
17,0.9359
18,0.9321
19,0.9283
20,0.9279
21,0.9183
22,0.9086
23,0.9088
24,0.9204
25,0.9269
26,0.9382
27,0.9428
28,0.9435
29,0.9452
30,0.9729
31,0.9679
32,0.9605
33,0.9544
34,0.9452
35,0.9542
36,0.9626
37,0.9676
38,0.9613
39,0.9578
40,0.9548
41,0.9525
42,0.9435
43,0.9428
44,0.9365
45,0.9332
46,0.9347
47,0.9359
48,0.9376
49,0.9403
50,0.9445
51,0.9483
52,0.9645
53,0.9676
54,0.9689
55,0.9689
56,0.9716
57,0.9704
58,0.9670
59,0.9706
60,0.9687
61,0.9685
62,0.9702
63,0.9708
64,0.9706
65,0.9695
66,0.9710
67,0.9716
68,0.9725
69,0.9710
70,0.9706
71,0.9704
72,0.9693
73,0.9708
74,0.9702
75,0.9685
76,0.9689
77,0.9700
78,0.9691
79,0.9697
80,0.9748
81,0.9727
82,0.9742
83,0.9784
84,0.9748
85,0.9723
86,0.9716
87,0.9733
88,0.9742
89,0.9752
90,0.9731
91,0.9721
92,0.9733
93,0.9754
94,0.9737
95,0.9746
96,0.9767
97,0.9781
98,0.9773
99,0.9771
100,0.9752
101,0.9784
102,0.9788
103,0.9767
104,0.9777
105,0.9763
106,0.9754
107,0.9777
108,0.9802
