x,y,z,value
-35.8436,-24.3737,-41.5786,0
-44.4461,-32.9761,-38.7111,0
-41.5786,-32.9761,-38.7111,0
-44.4461,-30.1086,-38.7111,0
-41.5786,-30.1086,-38.7111,0
-44.4461,-32.9761,-35.8436,0
-41.5786,-32.9761,-35.8436,0
-44.4461,-30.1086,-35.8436,0
-41.5786,-30.1086,-35.8436,0
-38.7111,-32.9761,-38.7111,0
-35.8436,-32.9761,-38.7111,0
-38.7111,-30.1086,-38.7111,0
-35.8436,-30.1086,-38.7111,0
-38.7111,-32.9761,-35.8436,0
-35.8436,-32.9761,-35.8436,0
-38.7111,-30.1086,-35.8436,0
-35.8436,-30.1086,-35.8436,0
-44.4461,-27.2412,-38.7111,0
-41.5786,-27.2412,-38.7111,0
-44.4461,-24.3737,-38.7111,0
-41.5786,-24.3737,-38.7111,0
-44.4461,-27.2412,-35.8436,0
-41.5786,-27.2412,-35.8436,0
-44.4461,-24.3737,-35.8436,0
-41.5786,-24.3737,-35.8436,0
-38.7111,-27.2412,-38.7111,0
-35.8436,-27.2412,-38.7111,0
-38.7111,-24.3737,-38.7111,0
-35.8436,-24.3737,-38.7111,0
-38.7111,-27.2412,-35.8436,0
-35.8436,-27.2412,-35.8436,0
-38.7111,-24.3737,-35.8436,0
-35.8436,-24.3737,-35.8436,0
-32.9761,-32.9761,-44.4461,0
-30.1086,-32.9761,-44.4461,0
-32.9761,-30.1086,-44.4461,0
-30.1086,-30.1086,-44.4461,0
-32.9761,-32.9761,-41.5786,0
-30.1086,-32.9761,-41.5786,0
-32.9761,-30.1086,-41.5786,0
-30.1086,-30.1086,-41.5786,0
-27.2412,-32.9761,-44.4461,0
-24.3737,-32.9761,-44.4461,0
-27.2412,-30.1086,-44.4461,0
-24.3737,-30.1086,-44.4461,0
-27.2412,-32.9761,-41.5786,0
-24.3737,-32.9761,-41.5786,0
-27.2412,-30.1086,-41.5786,0
-24.3737,-30.1086,-41.5786,0
-32.9761,-27.2412,-44.4461,0
-30.1086,-27.2412,-44.4461,0
-32.9761,-24.3737,-44.4461,0
-30.1086,-24.3737,-44.4461,0
-32.9761,-27.2412,-41.5786,0
-30.1086,-27.2412,-41.5786,0
-32.9761,-24.3737,-41.5786,0
-30.1086,-24.3737,-41.5786,0
-27.2412,-27.2412,-44.4461,0
-24.3737,-27.2412,-44.4461,0
-27.2412,-24.3737,-44.4461,0
-24.3737,-24.3737,-44.4461,0
-27.2412,-27.2412,-41.5786,0
-24.3737,-27.2412,-41.5786,0
-27.2412,-24.3737,-41.5786,0
-24.3737,-24.3737,-41.5786,0
-32.9761,-32.9761,-38.7111,0
-30.1086,-32.9761,-38.7111,0
-32.9761,-30.1086,-38.7111,0
-30.1086,-30.1086,-38.7111,0
-32.9761,-32.9761,-35.8436,0
-30.1086,-32.9761,-35.8436,0
-32.9761,-30.1086,-35.8436,0
-30.1086,-30.1086,-35.8436,0
-27.2412,-32.9761,-38.7111,0
-24.3737,-32.9761,-38.7111,0
-27.2412,-30.1086,-38.7111,0
-24.3737,-30.1086,-38.7111,0
-27.2412,-32.9761,-35.8436,0
-24.3737,-32.9761,-35.8436,0
-27.2412,-30.1086,-35.8436,0
