Timestep,CoverageScore
0,0.4540
1,0.4470
2,0.4349
3,0.3637
4,0.3568
5,0.3064
6,0.2760
7,0.3021
8,0.2943
9,0.2925
10,0.2908
11,0.3012
12,0.3038
13,0.5590
14,0.5356
15,0.5269
16,0.5217
17,0.5156
18,0.5217
19,0.5312
20,0.5408
21,0.5694
22,0.5530
23,0.5564
24,0.5530
25,0.5495
26,0.5530
27,0.5547
28,0.5417
29,0.5512
30,0.5477
31,0.5530
32,0.5382
33,0.5660
34,0.5599
35,0.5391
36,0.5295
37,0.5512
38,0.5608
39,0.5668
40,0.5712
41,0.5495
42,0.5469
43,0.5668
44,0.5556
45,0.5694
46,0.5564
47,0.5495
48,0.5477
49,0.5556
50,0.5556
51,0.5616
52,0.5582
53,0.5521
54,0.5538
55,0.5495
56,0.6840
57,0.7509
58,0.7917
59,0.8351
60,0.8585
61,0.8759
62,0.8854
63,0.8498
64,0.8238
65,0.8446
66,0.8707
67,0.8750
68,0.8828
69,0.8880
70,0.8941
71,0.8984
72,0.8976
73,0.8958
74,0.8672
75,0.8733
76,0.8915
77,0.8984
78,0.9028
79,0.9036
80,0.8837
81,0.8681
82,0.8672
83,0.8707
84,0.8976
85,0.8976
86,0.9002
87,0.9002
88,0.8906
89,0.8733
90,0.8872
91,0.8984
92,0.9036
93,0.9106
94,0.9010
95,0.9036
96,0.9080
97,0.9097
98,0.9193
99,0.9167
100,0.9262
101,0.9288
102,0.9332
103,0.9306
104,0.9349
105,0.9392
106,0.9436
107,0.9453
108,0.9418
109,0.9436
110,0.9410
111,0.9410
112,0.9418
113,0.9592
114,0.9722
115,0.9774
116,0.9714
117,0.9783
118,0.9800
119,0.9783
120,0.9766
121,0.9774
122,0.9740
123,0.9774
124,0.9800
125,0.9757
126,0.9748
127,0.9757
128,0.9748
129,0.9748
130,0.9774
131,0.9757
132,0.9757
133,0.9800
134,0.9783
135,0.9774
136,0.9740
137,0.9783
138,0.9783
139,0.9766
140,0.9783
141,0.9809
142,0.9809
143,0.9818
144,0.9774
145,0.9792
146,0.9800
147,0.9809
148,0.9800
149,0.9818
150,0.9757
151,0.9757
152,0.9818
153,0.9887
154,0.9878
155,0.9896
156,0.9905
157,0.9939
158,0.9922
159,0.9939
160,0.9957
