Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
18,2,249.193,33.0581,311.143,0.6213,0.709165,-0.250677,-0.219618
18,3,223.082,14.0012,-331.72,-0.200004,-0.21295,0.697117,0.654736
19,0,-175.94,-350.732,77.6673,-0.751925,0.178025,-0.146241,0.617681
19,1,-182.3,349.332,68.8033,-0.182326,0.743479,-0.624909,0.153249
19,2,255.107,30.187,306.609,0.624287,0.702515,-0.255399,-0.226959
19,3,237.958,16.7323,-321.086,-0.214154,-0.229741,0.694471,0.647354
20,0,-172.866,-353.877,69.9162,-0.746721,0.172635,-0.144687,0.625836
20,1,-178.911,351.46,66.8298,-0.178188,0.742823,-0.627537,0.150533
20,2,261.46,25.2223,301.666,0.629628,0.69329,-0.259538,-0.235706
20,3,246.222,20.1998,-314.59,-0.221397,-0.240304,0.69508,0.640391
21,0,-175.927,-354.127,60.3594,-0.738514,0.173338,-0.148886,0.634337
21,1,-185.839,348.76,61.8867,-0.184151,0.737188,-0.630728,0.157557
21,2,263.125,21.1667,300.528,0.634604,0.687704,-0.259143,-0.239134
21,3,244.59,22.6183,-315.696,-0.218719,-0.239879,0.698927,0.637276
22,0,-183.097,-351.995,50.7411,-0.729134,0.178297,-0.156948,0.641826
22,1,-198.492,342.601,56.7944,-0.196126,0.729745,-0.63254,0.170001
22,2,259.876,18.1176,303.539,0.639634,0.685779,-0.253931,-0.236844
22,3,236.728,23.9851,-321.535,-0.209994,-0.232345,0.704569,0.63679
23,0,-191.104,-348.776,42.8309,-0.720757,0.184519,-0.165714,0.647302
23,1,-210.272,335.962,53.9914,-0.207905,0.724061,-0.632113,0.181504
23,2,255.217,16.531,307.557,0.643148,0.686154,-0.248015,-0.23247
23,3,225.806,25.8284,-329.157,-0.198103,-0.222055,0.712399,0.635558
24,0,-196.851,-346.179,37.5474,-0.714974,0.189066,-0.172078,0.650734
24,1,-216.321,331.956,54.8695,-0.214732,0.722826,-0.629625,0.187044
24,2,251.746,16.7575,310.392,0.643821,0.688102,-0.244387,-0.22866
24,3,215.42,25.9521,-336.037,-0.187604,-0.211562,0.717666,0.636397
25,0,-197.596,-346.01,35.1056,-0.712803,0.189192,-0.173257,0.652763
25,1,-215.371,331.835,59.1652,-0.215074,0.72643,-0.625865,0.1853
25,2,251.209,17.2131,310.802,0.643336,0.688927,-0.244049,-0.227899
25,3,209.993,23.7816,-339.613,-0.183015,-0.204912,0.71713,0.6405
25,4,-157.605,-10.9389,-367.479,-0.147421,0.137544,-0.668178,0.716162
26,0,-173.084,-354.15,67.9686,-0.745155,0.172349,-0.145175,0.627665
26,1,-178.342,342.962,102.817,-0.188266,0.770115,-0.592056,0.144736
26,2,256.847,19.1785,306.042,0.639076,0.688574,-0.25119,-0.233133
26,3,238.602,16.2317,-320.633,-0.21503,-0.230155,0.693516,0.64794
26,4,-216.225,38.8014,-334.277,-0.183906,0.219845,-0.734835,0.614707
27,0,-143.737,-357.547,107.236,-0.781771,0.151257,-0.114913,0.593928
27,1,-134.29,346.493,148.017,-0.152142,0.813556,-0.551666,0.103166
27,2,260.635,21.1456,302.692,0.635348,0.688983,-0.25639,-0.236431
27,3,272.41,12.7623,-292.626,-0.252919,-0.265045,0.673164,0.642365
27,4,-271.61,68.2099,-285.614,-0.232547,0.298168,-0.729987,0.569331
28,0,-121.15,-354.058,141.3,-0.811422,0.134983,-0.0933161,0.560952
28,1,-95.4652,340.865,186.273,-0.11652,0.848095,-0.512063,0.0703527
28,2,258.894,22.4573,304.088,0.634055,0.691436,-0.255197,-0.234019
28,3,295.371,10.388,-269.533,-0.280492,-0.29053,0.658153,0.635413
28,4,-315.38,47.2419,-241.461,-0.29053,0.337291,-0.678458,0.584399
29,0,-106.406,-346.391,169.384,-0.834291,0.125252,-0.0797126,0.530957
29,1,-66.7405,330.928,214.552,-0.0870677,0.872129,-0.479085,0.0478287
29,2,253.346,22.5788,308.717,0.635317,0.694456,-0.249232,-0.228007
29,3,308.562,7.93476,-254.415,-0.297745,-0.3055,0.647706,0.631264
