Timestep,CoverageScore
0,0.9871
1,0.9826
2,0.9818
3,0.9832
4,0.9752
5,0.9791
6,0.9770
7,0.9705
8,0.9689
9,0.9682
10,0.9736
11,0.9766
12,0.9795
13,0.9787
14,0.9766
15,0.9717
16,0.9701
17,0.9680
18,0.9709
19,0.9750
20,0.9791
21,0.9803
22,0.9797
23,0.9764
24,0.9721
25,0.9686
26,0.9707
27,0.9838
28,0.9883
29,0.9863
30,0.9826
31,0.9793
32,0.9775
33,0.9779
34,0.9811
35,0.9805
36,0.9789
37,0.9807
38,0.9818
39,0.9816
40,0.9822
41,0.9838
42,0.9834
43,0.9850
44,0.9846
45,0.9871
46,0.9867
47,0.9863
48,0.9850
49,0.9850
50,0.9850
51,0.9889
52,0.9932
