Timestep,CoverageScore
0,0.9261
1,0.9493
2,0.8597
3,0.7888
4,0.7834
5,0.8117
6,0.8477
7,0.8786
8,0.9365
9,0.9458
10,0.9717
11,0.9621
12,0.9503
13,0.9568
14,0.9818
15,0.9845
16,0.9845
17,0.9851
18,0.9853
19,0.9859
20,0.9880
21,0.9890
22,0.9870
23,0.9864
24,0.9866
25,0.9855
26,0.9876
27,0.9886
28,0.9899
29,0.9899
30,0.9901
