iteration,coverage,redundancy,affinity,time
0,0.838598,0.345627,1.419987,0.119986
1,0.842980,0.316597,1.384016,0.338832
2,0.836589,0.284645,1.347228,0.559208
3,0.819792,0.255067,1.318708,0.774261
4,0.802629,0.226036,1.288217,0.986439
5,0.775790,0.213438,1.282655,1.197666
6,0.755523,0.189520,1.260029,1.410616
7,0.733066,0.183312,1.262267,1.621667
8,0.879313,0.403688,1.547550,1.855245
9,0.879131,0.348001,1.457529,2.093462
10,0.878766,0.262370,1.335757,2.329206
11,0.880957,0.182582,1.233161,2.564013
12,0.882965,0.160489,1.208230,2.799296
13,0.884791,0.152821,1.198514,3.033425
14,0.889355,0.153369,1.198522,3.267516
15,0.895746,0.160489,1.207093,3.507412
16,0.906701,0.167793,1.214458,3.759752
17,0.923316,0.184225,1.231956,4.119077
18,0.935183,0.225123,1.276259,4.482215
19,0.948695,0.262005,1.320054,4.844544
20,0.956911,0.290487,1.360237,5.211946
21,0.958737,0.314406,1.394020,5.581839
22,0.959467,0.326456,1.409705,5.951579
23,0.960197,0.334490,1.426507,6.323531
24,0.960380,0.340150,1.437452,6.695945
25,0.960745,0.343254,1.442037,7.068943
26,0.960015,0.349279,1.452073,7.451077
27,0.961658,0.348548,1.454338,7.824626
28,0.961293,0.352748,1.461918,8.199932
29,0.962388,0.357312,1.469171,8.574949
30,0.962023,0.359138,1.473904,8.968847
31,0.961840,0.357495,1.474184,9.352980
32,0.962023,0.362607,1.481306,9.730665
33,0.963666,0.368267,1.490716,10.115754
34,0.963301,0.368632,1.491471,10.495619
35,0.964031,0.371554,1.495644,10.876005
36,0.988132,0.500822,1.942350,11.282437
