x,y,z
-179.115,311.763,-175.276
52.9646,381.253,-108.815
179.207,-303.999,188.332
-169.323,-267.523,-244.461
-320.961,-90.1571,221.034
148.936,344.437,138.496
177.085,-347.317,-89.5084
