Timestep,CoverageScore
0,0.9455
1,0.9522
2,0.9576
3,0.9601
4,0.9606
5,0.9601
6,0.9614
7,0.9622
8,0.9674
9,0.9718
10,0.9714
11,0.9699
12,0.9674
13,0.9674
14,0.9695
15,0.9695
16,0.9691
17,0.9725
18,0.9712
19,0.9714
20,0.9712
21,0.9702
22,0.9685
23,0.9677
24,0.9710
25,0.9704
26,0.9691
27,0.9681
28,0.9681
29,0.9670
30,0.9666
31,0.9683
32,0.9685
33,0.9679
34,0.9670
35,0.9666
36,0.9750
37,0.9743
38,0.9718
39,0.9704
40,0.9725
41,0.9731
42,0.9739
43,0.9739
44,0.9737
45,0.9739
46,0.9733
47,0.9725
48,0.9729
49,0.9750
50,0.9760
51,0.9731
52,0.9735
53,0.9739
54,0.9718
55,0.9731
56,0.9710
57,0.9714
58,0.9718
59,0.9729
60,0.9733
61,0.9727
62,0.9720
63,0.9737
64,0.9766
65,0.9775
66,0.9773
67,0.9775
68,0.9773
69,0.9785
70,0.9791
71,0.9787
72,0.9779
73,0.9787
74,0.9783
75,0.9798
76,0.9785
77,0.9783
78,0.9781
79,0.9777
80,0.9775
81,0.9760
82,0.9775
83,0.9781
84,0.9781
85,0.9785
86,0.9783
87,0.9798
88,0.9806
89,0.9800
90,0.9802
91,0.9793
92,0.9837
93,0.9831
94,0.9833
95,0.9839
96,0.9850
97,0.9850
98,0.9835
99,0.9843
100,0.9848
101,0.9841
102,0.9846
103,0.9841
104,0.9843
105,0.9843
106,0.9848
107,0.9839
108,0.9843
109,0.9843
110,0.9846
111,0.9841
112,0.9848
113,0.9846
114,0.9843
115,0.9843
116,0.9839
117,0.9837
118,0.9850
119,0.9854
120,0.9850
121,0.9839
122,0.9848
123,0.9852
124,0.9862
125,0.9846
126,0.9846
127,0.9848
128,0.9850
129,0.9850
130,0.9858
131,0.9944
