Timestep,CoverageScore
0,0.8942
1,0.9042
2,0.9283
3,0.9360
4,0.9389
5,0.9398
6,0.9400
7,0.9408
8,0.9535
9,0.9527
10,0.9527
11,0.9535
12,0.9546
13,0.9546
14,0.9538
15,0.9514
16,0.9516
17,0.9509
18,0.9511
19,0.9507
20,0.9501
21,0.9489
22,0.9492
23,0.9478
24,0.9468
25,0.9474
26,0.9472
27,0.9476
28,0.9450
29,0.9459
30,0.9586
31,0.9590
32,0.9592
33,0.9590
34,0.9604
35,0.9638
36,0.9634
37,0.9645
38,0.9647
39,0.9649
40,0.9641
41,0.9645
42,0.9654
43,0.9639
44,0.9660
45,0.9662
46,0.9665
47,0.9665
48,0.9674
49,0.9684
50,0.9680
51,0.9676
52,0.9684
53,0.9685
54,0.9678
55,0.9693
56,0.9685
57,0.9689
58,0.9739
59,0.9759
60,0.9765
61,0.9770
62,0.9777
63,0.9774
64,0.9788
65,0.9787
66,0.9783
67,0.9787
68,0.9794
69,0.9803
