x,y,z,qx,qy,qz,qw
-86.43541373982823,-388.8625587874512,-36.26057948931272,-0.6702671929872241,0.07359460335776247,-0.08059790804713063,0.7340502037191102
233.1743273910724,294.26856692982483,-137.97008212938113,-0.18817940451374904,-0.5404867334681995,0.77444157609061,0.26963465631112443
-121.8901088487991,-211.42668827045804,316.9251597014893,0.9144758664361596,-0.24472502800632556,0.08330599070633617,-0.31129353074802923
168.34587158752174,-272.9995377528172,239.02075204087566,0.859847378322595,0.2437999713758288,-0.12236609937388959,-0.4315676049855049
-110.02643169272497,-291.022310815102,-251.39649746327873,-0.4239726981710751,0.07746953837761067,-0.16219563218244182,0.8876588301425478
314.63903754015246,-96.25699545652294,-227.45739575025797,-0.3733455186590476,-0.27620894085706993,0.5267222683398071,0.7119588448237656
-97.36052681515822,378.42804707098156,85.51690481020594,-0.0978274600510585,0.7728686298930214,-0.6220168573089259,0.07873308206065582
290.9761615224754,-234.85183165315595,-142.04749415179424,-0.5123254274846477,-0.24487402610920225,0.3549698906111717,0.7426679907261626
-57.10924860231001,69.05259821055844,-389.83364709123134,0.038178448537468594,-0.10606765389708891,0.9349065177809446,-0.3365142818287921
193.92392684428782,326.4739583921601,125.73092336034688,0.2146615553707363,0.7817186647677347,-0.5646211501093168,-0.15504613071211718
