Timestep,CoverageScore
0,0.9557
1,0.9579
2,0.9671
3,0.9698
4,0.9710
5,0.9679
6,0.9706
7,0.9739
8,0.9761
9,0.9747
10,0.9769
11,0.9743
12,0.9665
13,0.9581
14,0.9573
15,0.9689
16,0.9718
17,0.9736
18,0.9769
19,0.9704
20,0.9696
21,0.9716
22,0.9761
23,0.9739
24,0.9767
25,0.9722
26,0.9692
27,0.9663
28,0.9702
29,0.9718
30,0.9792
31,0.9763
32,0.9763
33,0.9694
34,0.9634
35,0.9704
36,0.9743
37,0.9741
38,0.9747
39,0.9728
40,0.9736
41,0.9696
42,0.9681
43,0.9716
44,0.9704
45,0.9687
46,0.9728
47,0.9720
48,0.9704
49,0.9730
50,0.9822
51,0.9916
