iteration,coverage,redundancy,affinity,time
0,0.904811,0.485464,1.647142,0.182127
1,0.934397,0.468999,1.624174,0.674287
2,0.934654,0.414716,1.559593,1.106875
3,0.933882,0.419089,1.576309,1.537830
4,0.944687,0.427322,1.581972,1.970847
5,0.951119,0.432210,1.571544,2.407721
6,0.952920,0.434783,1.574784,2.847379
7,0.948032,0.442243,1.580461,3.286819
8,0.964240,0.619501,1.920758,3.756941
9,0.972987,0.653718,1.982813,4.240816
10,0.979676,0.661178,1.976103,4.721306
11,0.981477,0.659635,1.987418,5.276242
12,0.981219,0.652431,1.979811,5.830952
13,0.981477,0.640340,1.966972,6.385683
14,0.983278,0.630049,1.944793,6.944035
15,0.984307,0.632879,1.926817,7.502113
16,0.987651,0.629020,1.901537,8.058076
17,0.986365,0.628248,1.890975,8.619759
18,0.989709,0.632622,1.885365,9.181068
19,0.989452,0.632622,1.886635,9.742844
20,0.989709,0.635709,1.886925,10.310103
21,0.989967,0.637252,1.881237,10.873780
22,0.989967,0.639825,1.890593,11.441829
23,0.988423,0.636223,1.893545,12.012047
24,0.990224,0.637252,1.897896,12.580577
