Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
16,1,-359.922,123.915,-122.888,0.341782,-0.47914,0.658172,-0.469489
16,2,168.22,26.9294,361.907,0.633182,0.742607,-0.166046,-0.141579
16,3,124.35,-214.93,-313.596,-0.317405,-0.0852028,0.244857,0.912162
16,4,291.723,270.68,-40.3709,-0.268117,-0.614532,0.680027,0.296692
17,0,-169.915,-292.863,212.978,0.845274,-0.227453,0.125636,-0.466897
17,1,-359.389,128.7,-119.483,0.340902,-0.484182,0.658892,-0.463912
17,2,157.312,24.165,366.973,0.637634,0.743061,-0.154195,-0.132318
17,3,128.595,-221.602,-307.174,-0.32893,-0.0885257,0.244342,0.90789
17,4,283.856,279.857,-33.258,-0.261321,-0.624611,0.678895,0.284032
18,0,-168.564,-292.232,214.91,0.846892,-0.226742,0.124399,-0.464636
18,1,-359.205,131.759,-116.666,0.340736,-0.48792,0.658877,-0.460123
18,2,146.524,22.2138,371.534,0.640257,0.744639,-0.143033,-0.122983
18,3,131.693,-227.367,-301.597,-0.338704,-0.0910085,0.243009,0.904402
18,4,272.901,290.793,-31.0555,-0.249896,-0.631453,0.682538,0.270113
19,0,-168.11,-291.834,215.804,0.847573,-0.226662,0.123964,-0.463549
19,1,-359.468,133.026,-114.398,0.341395,-0.490359,0.658087,-0.458169
19,2,136.434,20.1776,375.471,0.643243,0.745371,-0.132564,-0.114401
19,3,133.511,-232.524,-296.829,-0.346989,-0.0925331,0.240482,0.901779
19,4,260.916,301.443,-32.4817,-0.236691,-0.635118,0.688968,0.256759
20,0,-167.961,-291.699,216.103,0.847799,-0.226639,0.123821,-0.463184
20,1,-359.974,133.152,-112.646,0.342477,-0.491835,0.656931,-0.457438
20,2,127.367,17.7529,378.764,0.647715,0.744258,-0.1229,-0.106958
20,3,133.89,-237.742,-292.493,-0.354595,-0.0929833,0.23599,0.899958
20,4,249.087,310.894,-36.0622,-0.223489,-0.636376,0.696586,0.244634
21,0,-167.795,-291.968,215.87,0.847732,-0.226247,0.123709,-0.463529
21,1,-360.534,132.816,-111.244,0.343638,-0.492806,0.655729,-0.457247
21,2,119.289,14.9245,381.507,0.654068,0.740999,-0.113987,-0.100615
21,3,133.122,-243.246,-288.287,-0.362034,-0.0925866,0.229817,0.898634
21,4,238.623,318.412,-40.8992,-0.211748,-0.63564,0.704325,0.234629
22,0,-167.753,-292.391,215.328,0.847442,-0.225836,0.12372,-0.464255
22,1,-361.152,131.985,-110.224,0.344882,-0.49323,0.654485,-0.457636
22,2,112.25,12.1191,383.736,0.661253,0.736488,-0.106096,-0.0952579
22,3,131.864,-248.876,-284.03,-0.369497,-0.0918396,0.223046,0.897378
22,4,229.879,324.143,-45.684,-0.202025,-0.634098,0.711172,0.226581
23,0,-167.594,-292.773,214.934,0.84728,-0.225352,0.123626,-0.464811
23,1,-361.941,130.282,-109.659,0.346417,-0.49287,0.653008,-0.458971
23,2,106.959,9.31905,385.322,0.669495,0.730362,-0.0998507,-0.0915293
23,3,130.912,-254.452,-279.493,-0.377213,-0.0913451,0.216906,0.895722
23,4,223.066,328.256,-49.8917,-0.194509,-0.632299,0.716762,0.220491
24,0,-167.73,-292.882,214.678,0.847083,-0.225385,0.123755,-0.46512
24,1,-362.698,128.174,-109.644,0.34786,-0.491873,0.651659,-0.460863
24,2,103.658,6.56245,386.28,0.67851,0.722824,-0.0954831,-0.0896293
24,3,130.161,-259.587,-275.087,-0.384526,-0.0910038,0.211561,0.893924
24,4,216.459,331.951,-54.35,-0.187279,-0.630071,0.722381,0.214717
