iteration,coverage,redundancy,affinity,time
0,0.884888,0.116604,1.134514,0.131874
1,0.881343,0.123321,1.143099,0.357868
2,0.880970,0.136381,1.158619,0.584472
3,0.887500,0.139925,1.162077,0.812213
4,0.890299,0.151866,1.175189,1.040341
5,0.894963,0.158955,1.182406,1.271475
6,0.897761,0.168657,1.192643,1.502744
7,0.903545,0.178358,1.202354,1.746049
8,0.923321,0.544963,1.631643,2.116056
9,0.930224,0.536381,1.618131,2.489164
10,0.934328,0.519403,1.595248,2.864096
11,0.937687,0.493097,1.562077,3.238641
12,0.937873,0.464925,1.529342,3.612079
13,0.939179,0.445896,1.508542,3.987437
14,0.941045,0.434142,1.493259,4.366236
15,0.939739,0.422015,1.481040,4.737985
16,0.938619,0.406716,1.465116,5.106971
17,0.938993,0.395522,1.452613,5.476073
18,0.938993,0.389925,1.447049,5.853651
19,0.938806,0.375187,1.430445,6.223059
20,0.944590,0.356716,1.408256,6.598766
21,0.940672,0.354291,1.407378,6.965002
22,0.947201,0.341045,1.389994,7.336563
23,0.947948,0.337313,1.385554,7.706699
24,0.948321,0.327425,1.374779,8.080842
25,0.948694,0.321269,1.367158,8.450819
26,0.950000,0.320522,1.365672,8.822493
27,0.949813,0.313993,1.358869,9.190095
28,0.949813,0.313619,1.358672,9.557185
29,0.951119,0.308396,1.353864,9.925768
30,0.966231,0.543470,1.658621,10.318185
31,0.968284,0.502985,1.602697,10.707714
32,0.969030,0.469403,1.571236,11.099330
33,0.968657,0.442164,1.542565,11.491730
34,0.970896,0.419030,1.514988,11.881225
35,0.974067,0.404104,1.505842,12.274876
36,0.973881,0.392724,1.493103,12.666597
37,0.976119,0.388619,1.496560,13.056541
38,0.975187,0.385821,1.500861,13.548979
39,0.974627,0.388433,1.510145,14.039823
40,0.976493,0.390112,1.518342,14.430307
41,0.975000,0.392537,1.523153,14.919428
42,0.975746,0.396828,1.535564,15.408316
43,0.976119,0.396642,1.534595,15.896603
44,0.976119,0.399254,1.538800,16.387268
45,0.977425,0.401866,1.540752,16.876679
46,0.977985,0.401493,1.546166,17.367206
47,0.975933,0.404664,1.551329,17.858665
48,0.974067,0.404291,1.551427,18.351360
49,0.973321,0.400373,1.553191,18.743825
50,0.974440,0.394030,1.546429,19.137535
51,0.974254,0.387687,1.543278,19.528108
52,0.975933,0.381903,1.540241,19.920264
53,0.976306,0.375000,1.536786,20.411575
54,0.977799,0.363806,1.525663,20.903859
55,0.977799,0.362873,1.530242,21.393837
56,0.977612,0.365485,1.531298,21.896960
57,0.977239,0.365858,1.531691,22.390714
58,0.980037,0.494030,1.958119,22.925745
