model,method,n_seeds,samples_points,samples_viewpoints,samples_pairs,num_viewpoints_mean,num_viewpoints_std,coverage_auc_mean,coverage_auc_std,solution_time_mean,solution_time_std,exclusive_area_mean,exclusive_area_std,overlap_mean,overlap_std,cv_overlap_mean,cv_overlap_std,overlap_entropy_mean,overlap_entropy_std,gini_overlap_mean,gini_overlap_std
0071,Genetic (RKGA),1,5351,4,12,4.000000,0.000000,10.158239,0.000000,14.537742,0.000000,6.452065,0.000000,0.222120,0.000000,0.807188,0.000000,0.698565,0.000000,0.423459,0.000000
0073,Genetic (RKGA),1,5322,3,6,3.000000,0.000000,8.765974,0.000000,11.983978,0.000000,18.382813,0.000000,0.244853,0.000000,0.708887,0.000000,0.542311,0.000000,0.354443,0.000000
0077,Genetic (RKGA),1,5506,4,12,4.000000,0.000000,12.403029,0.000000,17.257609,0.000000,12.282056,0.000000,0.332732,0.000000,0.552150,0.000000,0.798830,0.000000,0.281564,0.000000
0081,Genetic (RKGA),1,3900,3,6,3.000000,0.000000,7.244129,0.000000,9.498084,0.000000,20.316239,0.000000,0.209656,0.000000,0.269864,0.000000,0.927824,0.000000,0.134932,0.000000
0082,Genetic (RKGA),1,5166,6,30,6.000000,0.000000,15.978174,0.000000,21.879351,0.000000,1.548587,0.000000,0.296029,0.000000,0.671753,0.000000,0.855625,0.000000,0.362226,0.000000
0083,Genetic (RKGA),1,5156,6,30,6.000000,0.000000,14.650974,0.000000,20.782823,0.000000,1.632402,0.000000,0.252306,0.000000,0.568549,0.000000,0.880789,0.000000,0.313620,0.000000
0084,Genetic (RKGA),1,5496,5,20,5.000000,0.000000,14.827650,0.000000,21.349180,0.000000,1.724891,0.000000,0.269215,0.000000,0.770351,0.000000,0.752038,0.000000,0.404428,0.000000
0088,Genetic (RKGA),1,5149,3,6,3.000000,0.000000,7.735199,0.000000,11.238008,0.000000,20.838998,0.000000,0.174652,0.000000,0.402942,0.000000,0.855464,0.000000,0.201471,0.000000
0089,Genetic (RKGA),1,4883,8,56,8.000000,0.000000,14.817137,0.000000,22.698537,0.000000,1.162195,0.000000,0.201000,0.000000,0.736977,0.000000,0.848500,0.000000,0.400187,0.000000
0093,Genetic (RKGA),1,4846,9,72,9.000000,0.000000,36.424884,0.000000,52.856457,0.000000,0.146742,0.000000,0.347352,0.000000,0.822428,0.000000,0.829282,0.000000,0.438748,0.000000
0095,Genetic (RKGA),1,5120,5,20,5.000000,0.000000,11.043958,0.000000,15.630800,0.000000,3.125000,0.000000,0.219095,0.000000,0.616690,0.000000,0.839955,0.000000,0.331337,0.000000
0099,Genetic (RKGA),1,4634,4,12,4.000000,0.000000,9.844369,0.000000,13.264963,0.000000,4.526327,0.000000,0.274213,0.000000,0.952359,0.000000,0.611698,0.000000,0.452213,0.000000
0106,Genetic (RKGA),1,5378,5,20,5.000000,0.000000,11.042133,0.000000,16.426783,0.000000,4.206025,0.000000,0.228504,0.000000,1.137250,0.000000,0.520840,0.000000,0.549809,0.000000
0107,Genetic (RKGA),1,5110,3,6,3.000000,0.000000,7.154464,0.000000,10.309634,0.000000,25.394651,0.000000,0.112127,0.000000,0.499884,0.000000,0.787389,0.000000,0.249942,0.000000
0108,Genetic (RKGA),1,5369,3,6,3.000000,0.000000,9.142341,0.000000,12.378163,0.000000,16.874651,0.000000,0.255904,0.000000,0.586612,0.000000,0.660212,0.000000,0.293306,0.000000
0109,Genetic (RKGA),1,5430,5,20,5.000000,0.000000,14.366279,0.000000,19.209424,0.000000,1.322284,0.000000,0.310196,0.000000,0.702726,0.000000,0.819361,0.000000,0.358612,0.000000
bell,Genetic (RKGA),10,38937,77,522,7.700000,0.781025,14.217987,1.391512,20.145759,2.049922,0.746364,0.255868,0.248813,0.018636,0.483278,0.055541,0.938210,0.010350,0.248437,0.029436
bracket,Genetic (RKGA),10,51678,40,120,4.000000,0.000000,9.648601,1.001616,13.740431,1.070583,10.479750,3.185667,0.220000,0.047351,0.760135,0.203191,0.697159,0.121401,0.374712,0.091447
cat,Genetic (RKGA),10,49764,80,564,8.000000,0.632456,18.174726,1.235782,26.421621,1.700531,0.622432,0.203735,0.232770,0.011918,0.638760,0.050352,0.891007,0.011041,0.341593,0.023082
goku,Genetic (RKGA),10,48170,85,646,8.500000,0.921954,21.598389,3.136115,31.246758,4.392190,0.432689,0.209055,0.264911,0.020246,0.593831,0.061353,0.908851,0.016850,0.318842,0.029185
gorilla,Genetic (RKGA),10,48886,60,300,6.000000,0.000000,12.901805,0.918603,18.794100,0.978911,2.212464,0.733467,0.206259,0.017321,0.631091,0.062962,0.859640,0.021503,0.339013,0.031472
mug,Genetic (RKGA),10,49096,58,282,5.800000,0.600000,11.456544,2.015290,17.534233,2.477110,5.369696,2.418785,0.182702,0.014916,0.556279,0.095194,0.893997,0.028999,0.292426,0.047330
0003,Greedy,1,12772,8,56,8.000000,0.000000,17.675735,0.000000,22.068224,0.000000,0.386588,0.000000,0.231778,0.000000,0.690723,0.000000,0.871217,0.000000,0.368510,0.000000
0005,Greedy,1,13435,11,110,11.000000,0.000000,8.449790,0.000000,9.994244,0.000000,0.050749,0.000000,0.283932,0.000000,0.720502,0.000000,0.881352,0.000000,0.392217,0.000000
0006,Greedy,1,13436,6,30,6.000000,0.000000,7.179715,0.000000,9.515222,0.000000,2.061625,0.000000,0.254646,0.000000,0.897673,0.000000,0.741864,0.000000,0.468060,0.000000
0007,Greedy,1,13876,5,20,5.000000,0.000000,1.896784,0.000000,2.761324,0.000000,2.170654,0.000000,0.252665,0.000000,0.633113,0.000000,0.830612,0.000000,0.340816,0.000000
0009,Greedy,1,13169,10,90,10.000000,0.000000,7.990593,0.000000,9.384500,0.000000,0.113145,0.000000,0.347589,0.000000,0.828814,0.000000,0.827248,0.000000,0.449241,0.000000
0010,Greedy,1,13346,3,6,3.000000,0.000000,3.316756,0.000000,5.316355,0.000000,31.395175,0.000000,0.035615,0.000000,0.515865,0.000000,0.775131,0.000000,0.257933,0.000000
0012,Greedy,1,13344,9,72,9.000000,0.000000,8.765350,0.000000,10.597458,0.000000,0.183187,0.000000,0.255115,0.000000,0.778373,0.000000,0.856111,0.000000,0.398202,0.000000
0013,Greedy,1,13993,5,20,5.000000,0.000000,3.923308,0.000000,5.400964,0.000000,0.254413,0.000000,0.303519,0.000000,0.876220,0.000000,0.724199,0.000000,0.440023,0.000000
0015,Greedy,1,13455,4,12,4.000000,0.000000,4.789992,0.000000,7.261626,0.000000,13.179116,0.000000,0.153460,0.000000,0.717825,0.000000,0.739156,0.000000,0.377063,0.000000
0016,Greedy,1,14225,7,42,7.000000,0.000000,10.131491,0.000000,12.138715,0.000000,0.337434,0.000000,0.425305,0.000000,0.717504,0.000000,0.846743,0.000000,0.349168,0.000000
0017,Greedy,1,13480,5,20,5.000000,0.000000,3.438943,0.000000,4.811948,0.000000,2.000000,0.000000,0.274500,0.000000,0.712062,0.000000,0.817632,0.000000,0.365418,0.000000
0021,Greedy,1,11880,4,12,4.000000,0.000000,4.908039,0.000000,6.837792,0.000000,3.703704,0.000000,0.256449,0.000000,0.704715,0.000000,0.749927,0.000000,0.357566,0.000000
0026,Greedy,1,13484,10,90,10.000000,0.000000,17.726865,0.000000,20.885912,0.000000,0.232869,0.000000,0.300386,0.000000,0.930543,0.000000,0.784943,0.000000,0.486850,0.000000
0029,Greedy,1,13106,9,72,9.000000,0.000000,7.442194,0.000000,9.083643,0.000000,0.478153,0.000000,0.271654,0.000000,0.700412,0.000000,0.876863,0.000000,0.381502,0.000000
0030,Greedy,1,13814,5,20,5.000000,0.000000,3.830048,0.000000,5.340435,0.000000,0.152020,0.000000,0.307213,0.000000,0.880674,0.000000,0.721504,0.000000,0.441164,0.000000
0031,Greedy,1,10451,7,42,7.000000,0.000000,4.404219,0.000000,5.770174,0.000000,0.334896,0.000000,0.254165,0.000000,0.587164,0.000000,0.890842,0.000000,0.324455,0.000000
0034,Greedy,1,13166,12,132,12.000000,0.000000,25.007763,0.000000,28.695239,0.000000,0.091777,0.000000,0.295296,0.000000,0.930533,0.000000,0.799792,0.000000,0.498771,0.000000
0036,Greedy,1,13510,8,56,8.000000,0.000000,6.918226,0.000000,8.769076,0.000000,0.520910,0.000000,0.286005,0.000000,0.725573,0.000000,0.855124,0.000000,0.392645,0.000000
0038,Greedy,1,13447,12,132,12.000000,0.000000,19.930444,0.000000,22.897481,0.000000,0.052676,0.000000,0.357693,0.000000,0.912808,0.000000,0.806712,0.000000,0.488370,0.000000
0041,Greedy,1,13043,4,12,4.000000,0.000000,7.948647,0.000000,12.418160,0.000000,10.509469,0.000000,0.169342,0.000000,0.872988,0.000000,0.597240,0.000000,0.454098,0.000000
0042,Greedy,1,13684,5,20,5.000000,0.000000,7.176701,0.000000,9.963441,0.000000,6.468869,0.000000,0.253945,0.000000,0.880984,0.000000,0.689597,0.000000,0.460279,0.000000
0044,Greedy,1,13441,8,56,8.000000,0.000000,5.926816,0.000000,7.298480,0.000000,2.360315,0.000000,0.286361,0.000000,0.590152,0.000000,0.905468,0.000000,0.321128,0.000000
