method,n_seeds,num_viewpoints_mean,num_viewpoints_std,coverage_auc_mean,coverage_auc_std,solution_time_mean,solution_time_std,exclusive_area_mean,exclusive_area_std,overlap_entropy_mean,overlap_entropy_std,cv_overlap_neighbors_mean,cv_overlap_neighbors_std,gini_overlap_neighbors_mean,gini_overlap_neighbors_std
Greedy,1,9.0,0.0,12.135711,0.0,14.449389,0.0,0.103578,0.0,0.95576,0.0,0.43542,0.0,0.230882,0.0
Genetic,1,3.0,0.0,7.244129,0.0,9.498084,0.0,20.316239,0.0,0.927824,0.0,0.269864,0.0,0.134932,0.0
SA,1,8.0,0.0,18.924473,0.0,20.355221,0.0,0.128634,0.0,0.871183,0.0,0.713555,0.0,0.365334,0.0
Potential Field,1,3.0,0.0,1.733996,0.0,1.917259,0.0,21.590613,0.0,0.916682,0.0,0.318745,0.0,0.159373,0.0
