method,n_seeds,num_viewpoints_mean,num_viewpoints_std,coverage_auc_mean,coverage_auc_std,solution_time_mean,solution_time_std,exclusive_area_mean,exclusive_area_std,overlap_entropy_mean,overlap_entropy_std,cv_overlap_neighbors_mean,cv_overlap_neighbors_std,gini_overlap_neighbors_mean,gini_overlap_neighbors_std
Greedy,1,9.0,0.0,17.796209,0.0,20.318088,0.0,0.450836,0.0,0.823823,0.0,0.817512,0.0,0.432486,0.0
Genetic,1,3.0,0.0,9.687261,0.0,13.901469,0.0,19.811263,0.0,0.461317,0.0,0.72307,0.0,0.361535,0.0
SA,1,6.0,0.0,9.799837,0.0,15.539728,0.0,4.711468,0.0,0.758979,0.0,0.862896,0.0,0.449561,0.0
Potential Field,1,3.0,0.0,2.079051,0.0,2.361642,0.0,18.805135,0.0,0.49477,0.0,0.686227,0.0,0.343113,0.0
