method,n_models,n_seeds_total,sum_points,sum_viewpoints,sum_pairs,mean_num_viewpoints,std_num_viewpoints,mean_solution_time,std_solution_time,mean_cv_overlap,std_cv_overlap,mean_novel_area,std_novel_area,mean_overlap,std_overlap
Genetic (RKGA),51.000000,105.000000,520228.000000,606.000000,3312.000000,4.823529,1.871310,17.552670,7.885898,0.638997,0.261167,10.309881,12.518574,0.235735,0.078689
Greedy,51.000000,105.000000,1320255.000000,962.000000,9706.000000,8.080392,3.928280,14.484747,11.739161,0.768467,0.130079,2.649152,5.532440,0.276003,0.069207
Potential Field,51.000000,107.000000,530997.000000,580.000000,2792.000000,4.805882,1.414271,14.802355,15.745921,0.603688,0.163919,11.323191,7.060467,0.192560,0.061206
SA,51.000000,105.000000,520439.000000,896.000000,7464.000000,8.780392,2.599926,34.230530,32.307510,0.864678,0.112354,0.851889,0.854233,0.278022,0.056961
