model,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s,Ovl_m,Ovl_s,_is_key,method_ord,_key_sort
0093,Greedy,26.0000,0.0000,49.1525,0.0000,0.0149,0.0000,0.9028,0.0000,,0.0000,False,0,1
0094,Greedy,5.0000,0.0000,6.6789,0.0000,2.7188,0.0000,0.4892,0.0000,,0.0000,False,0,1
0095,Greedy,7.0000,0.0000,16.3988,0.0000,0.8398,0.0000,0.6151,0.0000,,0.0000,False,0,1
0099,Greedy,7.0000,0.0000,10.8655,0.0000,1.0048,0.0000,0.9282,0.0000,,0.0000,False,0,1
0102,Greedy,5.0000,0.0000,2.3276,0.0000,10.1698,0.0000,0.5928,0.0000,,0.0000,False,0,1
0106,Greedy,11.0000,0.0000,15.8747,0.0000,0.2345,0.0000,1.0098,0.0000,,0.0000,False,0,1
0107,Greedy,6.0000,0.0000,11.9179,0.0000,2.5629,0.0000,0.6057,0.0000,,0.0000,False,0,1
0108,Greedy,4.0000,0.0000,8.3779,0.0000,10.8102,0.0000,0.6887,0.0000,,0.0000,False,0,1
0109,Greedy,9.0000,0.0000,17.2188,0.0000,0.0971,0.0000,0.7609,0.0000,,0.0000,False,0,1
0110,Greedy,7.0000,0.0000,16.9404,0.0000,0.7576,0.0000,0.7895,0.0000,,0.0000,False,0,1
bell,Genetic (RKGA),7.7000,0.7810,20.1458,2.0499,0.7464,0.2559,0.4833,0.0555,,0.0000,True,1,0
bracket,Genetic (RKGA),4.0000,0.0000,13.7404,1.0706,10.4797,3.1857,0.7601,0.2032,,0.0000,True,1,0
cat,Genetic (RKGA),8.0000,0.6325,26.4216,1.7005,0.6224,0.2037,0.6388,0.0504,,0.0000,True,1,0
goku,Genetic (RKGA),8.5000,0.9220,31.2468,4.3922,0.4327,0.2091,0.5938,0.0614,,0.0000,True,1,0
gorilla,Genetic (RKGA),6.0000,0.0000,18.7941,0.9789,2.2125,0.7335,0.6311,0.0630,,0.0000,True,1,0
mug,Genetic (RKGA),5.8000,0.6000,17.5342,2.4771,5.3697,2.4188,0.5563,0.0952,,0.0000,True,1,0
0003,Genetic (RKGA),4.0000,0.0000,14.6098,0.0000,8.5575,0.0000,1.1693,0.0000,,0.0000,False,1,1
0005,Genetic (RKGA),2.0000,0.0000,8.8520,0.0000,48.3963,0.0000,0.0000,0.0000,,0.0000,False,1,1
0006,Genetic (RKGA),6.0000,0.0000,23.7353,0.0000,0.3816,0.0000,0.7349,0.0000,,0.0000,False,1,1
0007,Genetic (RKGA),3.0000,0.0000,11.6990,0.0000,16.6575,0.0000,0.6254,0.0000,,0.0000,False,1,1
0008,Genetic (RKGA),5.0000,0.0000,15.6832,0.0000,4.6456,0.0000,0.8022,0.0000,,0.0000,False,1,1
0009,Genetic (RKGA),3.0000,0.0000,11.9527,0.0000,16.5978,0.0000,0.5473,0.0000,,0.0000,False,1,1
0010,Genetic (RKGA),3.0000,0.0000,10.7032,0.0000,22.1737,0.0000,0.5731,0.0000,,0.0000,False,1,1
0012,Genetic (RKGA),3.0000,0.0000,12.6356,0.0000,20.2379,0.0000,0.2927,0.0000,,0.0000,False,1,1
0013,Genetic (RKGA),5.0000,0.0000,16.0055,0.0000,2.9679,0.0000,0.4970,0.0000,,0.0000,False,1,1
0015,Genetic (RKGA),4.0000,0.0000,13.3526,0.0000,5.7950,0.0000,1.0447,0.0000,,0.0000,False,1,1
0016,Genetic (RKGA),7.0000,0.0000,21.7996,0.0000,0.8145,0.0000,0.9563,0.0000,,0.0000,False,1,1
0017,Genetic (RKGA),8.0000,0.0000,24.8948,0.0000,0.6017,0.0000,0.5874,0.0000,,0.0000,False,1,1
0021,Genetic (RKGA),5.0000,0.0000,13.3556,0.0000,3.1788,0.0000,0.6303,0.0000,,0.0000,False,1,1
0022,Genetic (RKGA),11.0000,0.0000,47.8118,0.0000,0.1930,0.0000,0.9269,0.0000,,0.0000,False,1,1
0026,Genetic (RKGA),4.0000,0.0000,15.9223,0.0000,0.9998,0.0000,0.9869,0.0000,,0.0000,False,1,1
0029,Genetic (RKGA),3.0000,0.0000,10.0457,0.0000,25.8830,0.0000,0.5127,0.0000,,0.0000,False,1,1
0030,Genetic (RKGA),6.0000,0.0000,19.7225,0.0000,1.0362,0.0000,0.7027,0.0000,,0.0000,False,1,1
0031,Genetic (RKGA),3.0000,0.0000,9.2302,0.0000,23.6318,0.0000,0.5381,0.0000,,0.0000,False,1,1
0034,Genetic (RKGA),7.0000,0.0000,18.1655,0.0000,2.0699,0.0000,0.6509,0.0000,,0.0000,False,1,1
0036,Genetic (RKGA),4.0000,0.0000,13.5767,0.0000,9.9830,0.0000,0.8085,0.0000,,0.0000,False,1,1
0038,Genetic (RKGA),4.0000,0.0000,16.5818,0.0000,11.1790,0.0000,0.5046,0.0000,,0.0000,False,1,1
0041,Genetic (RKGA),4.0000,0.0000,14.1096,0.0000,3.3073,0.0000,0.1227,0.0000,,0.0000,False,1,1
0042,Genetic (RKGA),7.0000,0.0000,33.2804,0.0000,0.1151,0.0000,0.6849,0.0000,,0.0000,False,1,1
0043,Genetic (RKGA),6.0000,0.0000,20.5465,0.0000,1.0608,0.0000,0.5993,0.0000,,0.0000,False,1,1
0044,Genetic (RKGA),2.0000,0.0000,8.6013,0.0000,48.3794,0.0000,0.0000,0.0000,,0.0000,False,1,1
0046,Genetic (RKGA),5.0000,0.0000,18.1341,0.0000,1.4918,0.0000,1.0309,0.0000,,0.0000,False,1,1
0050,Genetic (RKGA),3.0000,0.0000,13.9015,0.0000,19.8113,0.0000,0.7231,0.0000,,0.0000,False,1,1
0051,Genetic (RKGA),3.0000,0.0000,11.5462,0.0000,21.0685,0.0000,0.5368,0.0000,,0.0000,False,1,1
0052,Genetic (RKGA),6.0000,0.0000,22.4355,0.0000,1.6522,0.0000,0.8637,0.0000,,0.0000,False,1,1
0056,Genetic (RKGA),4.0000,0.0000,13.2913,0.0000,9.6340,0.0000,0.4598,0.0000,,0.0000,False,1,1
0062,Genetic (RKGA),2.0000,0.0000,8.8917,0.0000,48.2358,0.0000,0.0000,0.0000,,0.0000,False,1,1
0066,Genetic (RKGA),8.0000,0.0000,33.6500,0.0000,0.5145,0.0000,0.8817,0.0000,,0.0000,False,1,1
0067,Genetic (RKGA),6.0000,0.0000,24.6111,0.0000,0.2854,0.0000,0.9123,0.0000,,0.0000,False,1,1
0068,Genetic (RKGA),4.0000,0.0000,16.6149,0.0000,1.3278,0.0000,1.1283,0.0000,,0.0000,False,1,1
0071,Genetic (RKGA),4.0000,0.0000,14.5377,0.0000,6.4521,0.0000,0.8072,0.0000,,0.0000,False,1,1
0073,Genetic (RKGA),3.0000,0.0000,11.9840,0.0000,18.3828,0.0000,0.7089,0.0000,,0.0000,False,1,1
0077,Genetic (RKGA),4.0000,0.0000,17.2576,0.0000,12.2821,0.0000,0.5522,0.0000,,0.0000,False,1,1
0078,Genetic (RKGA),7.0000,0.0000,24.5591,0.0000,0.7909,0.0000,0.5858,0.0000,,0.0000,False,1,1
0081,Genetic (RKGA),3.0000,0.0000,9.4981,0.0000,20.3162,0.0000,0.2699,0.0000,,0.0000,False,1,1
0082,Genetic (RKGA),6.0000,0.0000,21.8794,0.0000,1.5486,0.0000,0.6718,0.0000,,0.0000,False,1,1
0083,Genetic (RKGA),6.0000,0.0000,20.7828,0.0000,1.6324,0.0000,0.5685,0.0000,,0.0000,False,1,1
0084,Genetic (RKGA),5.0000,0.0000,21.3492,0.0000,1.7249,0.0000,0.7704,0.0000,,0.0000,False,1,1
