model,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s,Ovl_m,Ovl_s,_is_key,method_ord,_key_sort
0067,Potential Field,4.0000,0.0000,3.7496,0.0000,11.4384,0.0000,0.6876,0.0000,,0.0000,False,3,1
0068,Potential Field,5.0000,0.0000,12.7059,0.0000,1.6447,0.0000,1.0836,0.0000,,0.0000,False,3,1
0071,Potential Field,5.0000,0.0000,13.2964,0.0000,8.6226,0.0000,0.6693,0.0000,,0.0000,False,3,1
0073,Potential Field,4.0000,0.0000,2.8496,0.0000,15.2282,0.0000,0.5424,0.0000,,0.0000,False,3,1
0077,Potential Field,5.0000,0.0000,11.2824,0.0000,9.7462,0.0000,0.5426,0.0000,,0.0000,False,3,1
0078,Potential Field,8.0000,0.0000,54.2991,0.0000,2.9715,0.0000,0.6447,0.0000,,0.0000,False,3,1
0081,Potential Field,3.0000,0.0000,1.9173,0.0000,21.5906,0.0000,0.3187,0.0000,,0.0000,False,3,1
0082,Potential Field,8.0000,0.0000,41.2769,0.0000,1.2800,0.0000,0.6273,0.0000,,0.0000,False,3,1
0083,Potential Field,5.0000,0.0000,18.5119,0.0000,7.1542,0.0000,0.7367,0.0000,,0.0000,False,3,1
0084,Potential Field,6.0000,0.0000,30.6960,0.0000,2.4408,0.0000,0.7774,0.0000,,0.0000,False,3,1
0088,Potential Field,4.0000,0.0000,3.5532,0.0000,14.3247,0.0000,0.4347,0.0000,,0.0000,False,3,1
0089,Potential Field,7.0000,0.0000,33.3120,0.0000,3.6353,0.0000,0.5647,0.0000,,0.0000,False,3,1
0090,Potential Field,12.0000,0.0000,208.5664,0.0000,0.6851,0.0000,0.7784,0.0000,,0.0000,False,3,1
0093,Potential Field,8.0000,0.0000,49.5184,0.0000,1.3443,0.0000,0.9875,0.0000,,0.0000,False,3,1
0094,Potential Field,6.0000,0.0000,21.0072,0.0000,3.7647,0.0000,0.5756,0.0000,,0.0000,False,3,1
0095,Potential Field,4.0000,0.0000,13.6752,0.0000,14.5673,0.0000,0.4096,0.0000,,0.0000,False,3,1
0099,Potential Field,5.0000,0.0000,11.1605,0.0000,10.0955,0.0000,0.4446,0.0000,,0.0000,False,3,1
0102,Potential Field,5.0000,0.0000,14.4496,0.0000,7.1186,0.0000,0.8079,0.0000,,0.0000,False,3,1
0106,Potential Field,6.0000,0.0000,22.9257,0.0000,8.1001,0.0000,0.6849,0.0000,,0.0000,False,3,1
0107,Potential Field,4.0000,0.0000,5.6202,0.0000,12.4536,0.0000,0.6815,0.0000,,0.0000,False,3,1
0108,Potential Field,4.0000,0.0000,3.2138,0.0000,13.2084,0.0000,0.7222,0.0000,,0.0000,False,3,1
0109,Potential Field,5.0000,0.0000,15.1149,0.0000,8.2502,0.0000,0.5253,0.0000,,0.0000,False,3,1
0110,Potential Field,6.0000,0.0000,27.6026,0.0000,5.8488,0.0000,0.5826,0.0000,,0.0000,False,3,1
