Timestep,CoverageScore
0,0.9155
1,0.9259
2,0.9346
3,0.9323
4,0.9388
5,0.9448
6,0.9446
7,0.9458
8,0.9616
9,0.9579
10,0.9610
11,0.9653
12,0.9662
13,0.9666
14,0.9695
15,0.9691
16,0.9658
17,0.9674
18,0.9682
19,0.9695
20,0.9685
21,0.9682
22,0.9660
23,0.9664
24,0.9653
25,0.9660
26,0.9658
27,0.9653
28,0.9660
29,0.9676
30,0.9687
31,0.9633
32,0.9680
33,0.9660
34,0.9716
35,0.9685
36,0.9782
37,0.9819
38,0.9811
39,0.9824
40,0.9822
41,0.9815
42,0.9828
43,0.9834
44,0.9824
45,0.9830
46,0.9838
47,0.9832
48,0.9832
49,0.9832
50,0.9840
51,0.9838
52,0.9846
53,0.9846
54,0.9853
55,0.9857
56,0.9840
57,0.9834
58,0.9851
59,0.9838
60,0.9842
61,0.9840
62,0.9844
63,0.9848
64,0.9859
65,0.9873
66,0.9880
67,0.9875
68,0.9871
69,0.9867
70,0.9875
71,0.9873
72,0.9871
73,0.9875
74,0.9869
75,0.9871
76,0.9873
77,0.9873
78,0.9878
79,0.9873
80,0.9871
81,0.9871
82,0.9867
83,0.9871
84,0.9869
85,0.9867
86,0.9869
87,0.9869
88,0.9878
89,0.9873
90,0.9878
91,0.9873
92,0.9882
93,0.9884
94,0.9871
95,0.9871
96,0.9867
97,0.9859
98,0.9886
99,0.9892
100,0.9886
101,0.9907
