iteration,coverage,redundancy,affinity,time
0,0.893732,0.536239,1.724675,0.183672
1,0.916430,0.521537,1.690121,0.669512
2,0.936033,0.530823,1.692477,1.104295
3,0.945061,0.547072,1.716703,1.540943
4,0.949961,0.558679,1.727668,1.987115
5,0.948156,0.584473,1.763602,2.440557
6,0.943513,0.571318,1.746036,2.891444
7,0.938612,0.558679,1.729871,3.335575
8,0.970596,0.690482,2.012756,3.806067
9,0.969048,0.661852,1.967527,4.288238
10,0.969048,0.652566,1.921480,4.768745
11,0.963632,0.642249,1.888116,5.243331
12,0.961052,0.625484,1.838969,5.719905
13,0.966727,0.628063,1.838847,6.197007
14,0.963632,0.629868,1.865364,6.676930
15,0.960021,0.623420,1.846319,7.158354
16,0.955894,0.611297,1.817053,7.640551
17,0.954088,0.606655,1.805893,8.126483
18,0.958215,0.603044,1.799731,8.621136
19,0.960794,0.607686,1.815839,9.113258
20,0.966985,0.618777,1.838890,9.610742
21,0.968274,0.625742,1.868407,10.106282
22,0.971885,0.629868,1.884554,10.602378
23,0.975497,0.630384,1.894765,11.102440
24,0.978850,0.632190,1.898024,11.671858
25,0.981687,0.636317,1.912507,12.244389
26,0.985814,0.646376,1.935113,12.836775
27,0.985040,0.657467,1.946845,13.413137
28,0.983234,0.661336,1.965897,13.988606
29,0.985298,0.664431,1.975131,14.567763
30,0.983234,0.666753,1.978489,15.143573
31,0.982719,0.666753,1.981890,15.727436
32,0.983492,0.665721,1.974298,16.306781
33,0.984782,0.666237,1.982713,16.898414
34,0.984782,0.666753,1.986904,17.494466
35,0.986845,0.673201,1.991636,18.088647
36,0.985040,0.669332,1.977481,18.684097
37,0.984266,0.667269,1.983229,19.271347
38,0.988393,0.769925,2.315501,19.940802
39,0.992778,0.779469,2.286828,20.621514
