seed,final_coverage,monte_carlo_coverage,num_viewpoints,computation_time,convergence_point,coverage_auc,efficiency,time_efficiency
0,0.9942,0.9679,10,0.4653894901275635,13,6.1,0.09942,2.1362751439176018
1,0.9911,0.9675,11,0.5300562381744385,13,7.07715,0.0901,1.869801595795642
10,0.9916,0.9658,10,0.4704148769378662,13,6.101999999999999,0.09916,2.107926531692095
100,0.9932,0.9749,10,0.4726734161376953,13,6.0576,0.09931999999999999,2.1012393887424996
101,0.9975,0.9874,12,0.5697417259216309,14,8.024949999999999,0.083125,1.7507933061887206
102,0.994,0.9764,11,0.5432014465332031,14,6.9581,0.09036363636363637,1.8298920342422944
103,0.993,0.9766,11,0.5348973274230957,13,7.0235,0.09027272727272727,1.8564310365576981
104,0.9935,0.9691,11,0.5260539054870605,13,7.079749999999999,0.09031818181818183,1.8885897236712699
105,0.9902,0.9672,10,0.48050546646118164,13,6.0550999999999995,0.09902,2.060746586906925
106,0.9922,0.9695,11,0.528897762298584,14,7.0517,0.0902,1.8759769292422592
107,0.9971,0.984,11,0.5327103137969971,13,7.10905,0.09064545454545454,1.8717490053702444
108,0.9911,0.9677,11,0.5274443626403809,14,6.92285,0.0901,1.8790607506705805
109,0.9919,0.9691,12,0.5945103168487549,14,8.06565,0.08265833333333333,1.668431937830176
11,0.9957,0.978,11,0.5147974491119385,14,6.98335,0.09051818181818182,1.9341587681089951
110,0.99,0.9627,12,0.6053674221038818,14,8.086,0.0825,1.6353704607350257
111,0.9961,0.9841,11,0.5459194183349609,13,7.11455,0.09055454545454546,1.8246282629734574
112,0.9916,0.96,11,0.5530340671539307,13,7.139,0.09014545454545454,1.7930179330598084
113,0.9946,0.9765,11,0.5348129272460938,14,7.0341,0.09041818181818183,1.8597157049315969
114,0.9938,0.9761,11,0.5356731414794922,13,7.1251,0.09034545454545455,1.8552358202152774
115,0.9937,0.9738,11,0.5647702217102051,13,7.14825,0.09033636363636365,1.7594766186342725
116,0.9913,0.9695,11,0.5501148700714111,13,7.02305,0.09011818181818182,1.8019872828947852
117,0.9955,0.9823,11,0.5512940883636475,14,7.01545,0.09050000000000001,1.8057512696260642
118,0.992,0.9727,11,0.5485954284667969,13,7.005600000000001,0.09018181818181818,1.8082542225559937
119,0.9921,0.9729,10,0.4982576370239258,13,6.047750000000001,0.09920999999999999,1.991138572257068
12,0.9957,0.9816,12,0.5608887672424316,14,7.951350000000001,0.08297500000000001,1.7752182930945217
120,0.9923,0.9721,10,0.4800281524658203,13,6.05685,0.09923,2.0671704251151293
121,0.9909,0.9739,11,0.5170774459838867,14,7.00785,0.09008181818181818,1.9163473628491594
122,0.9958,0.9746,11,0.5237483978271484,14,7.011199999999999,0.09052727272727273,1.9012945989548244
123,0.9905,0.9694,10,0.4937927722930908,13,6.11135,0.09905,2.0059021832180415
124,0.9945,0.9752,11,0.522451639175415,14,7.043949999999999,0.09040909090909091,1.9035254661457632
125,0.9957,0.9762,11,0.5185537338256836,14,7.02885,0.09051818181818182,1.9201481641142968
126,0.9908,0.9629,10,0.4811258316040039,13,6.114,0.09908,2.059336528859438
127,0.9966,0.9835,12,0.571052074432373,14,8.001,0.08305,1.7451998593834415
128,0.9943,0.9817,12,0.5804519653320312,14,8.06055,0.08285833333333333,1.7129755076826014
129,0.9907,0.9655,11,0.5253298282623291,14,6.88745,0.09006363636363636,1.885862836452689
13,0.9919,0.9727,11,0.5221292972564697,14,7.09385,0.09017272727272728,1.8997210177860966
130,0.99,0.9694,11,0.522324800491333,13,7.098400000000001,0.09,1.895372379539974
