strategy,final_coverage_mean,final_coverage_std,final_redundancy_mean,final_redundancy_std,num_viewpoints_mean,num_viewpoints_std,simulation_time_mean,simulation_time_std,coverage_auc_mean,coverage_auc_std,redundancy_auc_mean,redundancy_auc_std
nbv,0.999209090909091,0.000219315237851,0.389872727272727,0.030856090923956,11.1818181818182,0.385694607919935,3.29387435046109,0.807172732471146,2.88610382128087,0.787334564059663,0.853338864133575,0.257114664865368
random,0.999245454545454,0.000137269717005,0.425109090909091,0.048699681808657,11.5454545454545,0.497929597731969,2.93045494773171,0.643926855571533,2.48349781734293,0.633383055736996,0.792679919606989,0.217373248952203
greedy,1,0,0.691454545454545,0.055571074287984,14.5454545454545,0.655554777357089,0.799198410727761,0.039759500586871,0.594991659082066,0.04143982163134,0.174938624237884,0.030512144891784
genetic,1,0,0.761854545454545,0.076104740786944,14.2727272727273,1.05234880934457,2.46589933742176,0.135724255499003,1.46640426337502,0.091446725919564,0.990107075955651,0.118545017198136
sa,0.989181818181818,0.009964192088019,0.376109090909091,0.01099673129496,11,0,6.46793458678506,0.251472453173866,6.03425191356594,0.227170192010836,2.52499298632687,0.099054861227403
