strategy,n_seeds,final_coverage_mean,final_coverage_std,final_redundancy_mean,final_redundancy_std,final_affinity_mean,final_affinity_std,num_viewpoints_mean,num_viewpoints_std,num_iterations_mean,num_iterations_std,simulation_time_mean,simulation_time_std,coverage_auc_mean,coverage_auc_std,redundancy_auc_mean,redundancy_auc_std,affinity_auc_mean,affinity_auc_std
nbv,11,0.9992090909090909,0.00021931523785118155,0.38987272727272726,0.030856090923955967,1.4081198429311383,0.05192850074132625,11.181818181818182,0.385694607919935,235.1818181818182,48.02237770384322,3.293874350461093,0.8071727324711465,2.8861038212808694,0.7873345640596628,0.8533388641335747,0.25711466486536766,4.233141881648233,1.0789968953613567
random,11,0.9992454545454545,0.0001372697170049263,0.4251090909090909,0.04869968180865726,1.4480101329424737,0.0622653804612029,11.545454545454545,0.49792959773196915,217.27272727272728,38.37160623806692,2.9304549477317114,0.6439268555715326,2.4834978173429314,0.6333830557369956,0.792679919606989,0.2173732489522035,3.8479751355640444,0.8605593236933298
greedy,11,1.0,0.0,0.6914545454545453,0.055571074287984204,1.835091217495412,0.0831698470823183,14.545454545454545,0.655554777357089,14.545454545454545,0.655554777357089,0.799198410727761,0.03975950058687124,0.594991659082066,0.04143982163133963,0.17493862423788414,0.03051214489178404,0.9522028433396454,0.07514387605623456
genetic,11,1.0,0.0,0.7618545454545455,0.07610474078694396,1.9958999999999998,0.14730805075820474,14.272727272727273,1.0523488093445659,14.272727272727273,1.0523488093445659,2.465899337421764,0.1357242554990034,1.466404263375022,0.09144672591956397,0.9901070759556508,0.11854501719813608,3.949300352833842,0.36096552935269666
sa,11,0.9891818181818182,0.009964192088019087,0.3761090909090909,0.010996731294960047,1.411835935718494,0.01749741460008166,11.0,0.0,987.6363636363636,39.09725107117269,6.467934586785057,0.2514724531738661,6.034251913565939,0.22717019201083596,2.524992986326868,0.09905486122740283,9.84562891379112,0.48885675240133764
