iteration,coverage,redundancy,affinity,time
144,0.985088,0.557018,1.683882,26.558810
145,0.984211,0.562281,1.692513,26.848707
146,0.980702,0.561404,1.688730,27.140364
147,0.979825,0.561404,1.683080,27.431379
148,0.978947,0.551754,1.677419,27.724986
149,0.981579,0.554386,1.677391,28.019185
150,0.981579,0.541228,1.664879,28.315564
151,0.975439,0.550000,1.679856,28.610105
152,0.975439,0.558772,1.685252,28.907809
153,0.979825,0.566667,1.687556,29.203629
154,0.982456,0.766667,2.133929,29.509687
155,0.985965,0.790351,2.136121,29.831513
156,0.987719,0.757018,2.026643,30.152234
157,0.988596,0.756140,2.001775,30.474794
158,0.989474,0.758772,1.997340,30.797146
159,0.991228,0.767544,2.023894,31.124482
160,0.988596,0.772807,2.034605,31.451374
161,0.987719,0.781579,2.047957,31.778576
162,0.990351,0.787719,2.064659,32.107743
163,0.990351,0.784211,2.056687,32.439747
164,0.992105,0.783333,2.052166,32.772740
165,0.991228,0.780702,2.059292,33.110194
166,0.992982,0.783333,2.055654,33.445460
167,0.993860,0.785088,2.058252,33.784606
168,0.994737,0.788596,2.062610,34.121511
169,0.995614,0.794737,2.071366,34.461318
