iteration,coverage,redundancy,affinity,time
0,0.887968,0.480868,1.598401,0.154090
1,0.956016,0.517357,1.629668,0.586820
2,0.943590,0.474359,1.629181,1.047556
3,0.963708,0.452465,1.609701,1.510126
4,0.985404,0.449704,1.588271,1.978921
5,0.968639,0.422091,1.554673,2.536426
6,0.964300,0.408087,1.537124,3.002157
7,0.979882,0.381065,1.503623,3.465023
8,0.988363,0.436884,1.903812,4.068741
9,0.975740,0.461144,1.836467,4.715232
10,0.984615,0.622091,1.903646,5.338428
11,0.992110,0.749901,2.025845,5.954057
