Timestep,CoverageScore
0,0.9717
1,0.9620
2,0.9577
3,0.9577
4,0.9511
5,0.9529
6,0.9641
7,0.9709
8,0.9738
9,0.9773
10,0.9767
11,0.9761
12,0.9754
13,0.9748
14,0.9738
15,0.9728
16,0.9728
17,0.9738
18,0.9717
19,0.9732
20,0.9740
21,0.9732
22,0.9744
23,0.9738
24,0.9744
25,0.9701
26,0.9725
27,0.9719
28,0.9719
29,0.9705
30,0.9688
31,0.9713
32,0.9705
33,0.9697
34,0.9695
35,0.9684
36,0.9688
37,0.9664
38,0.9659
39,0.9676
40,0.9690
41,0.9670
42,0.9699
43,0.9711
44,0.9723
45,0.9686
46,0.9744
47,0.9742
48,0.9759
49,0.9744
50,0.9765
51,0.9744
52,0.9748
53,0.9744
54,0.9765
55,0.9767
56,0.9746
57,0.9754
58,0.9750
59,0.9734
60,0.9725
61,0.9717
62,0.9695
63,0.9703
64,0.9664
65,0.9664
66,0.9585
67,0.9618
68,0.9628
69,0.9657
70,0.9686
71,0.9655
72,0.9620
73,0.9612
74,0.9637
75,0.9631
76,0.9670
77,0.9651
78,0.9657
79,0.9595
80,0.9542
81,0.9598
82,0.9738
83,0.9839
84,0.9891
85,0.9909
