iteration,coverage,redundancy,affinity,time
0,0.982589,0.351290,1.375443,0.171203
1,0.985457,0.374437,1.406984,0.630455
2,0.985047,0.362351,1.392389,1.003727
3,0.988734,0.390414,1.424073,1.382748
4,0.984637,0.427284,1.460162,1.760695
5,0.984228,0.451454,1.486160,2.148428
6,0.977263,0.448587,1.486271,2.543270
7,0.974805,0.431790,1.474049,2.922274
8,0.973781,0.416428,1.462558,3.302559
9,0.968865,0.395944,1.445877,3.684086
10,0.964359,0.381606,1.428420,4.074847
11,0.972757,0.371159,1.410402,4.459057
12,0.977673,0.356616,1.390740,4.846200
13,0.979312,0.349037,1.383183,5.234596
14,0.977263,0.345965,1.381262,5.621437
15,0.979312,0.342687,1.378164,6.012933
16,0.978492,0.347808,1.382248,6.403896
17,0.976239,0.350061,1.384389,6.795680
18,0.973986,0.349242,1.384437,7.188447
19,0.971733,0.348628,1.384275,7.590094
20,0.971528,0.339820,1.374236,7.982615
21,0.973576,0.336542,1.373869,8.376013
22,0.972143,0.338181,1.378003,8.769692
23,0.971938,0.334494,1.373235,9.162648
24,0.970914,0.335928,1.371097,9.557651
25,0.970914,0.335518,1.373418,9.955997
26,0.971528,0.332855,1.371917,10.353697
27,0.974396,0.334494,1.375026,10.756802
28,0.973576,0.331831,1.374711,11.162237
29,0.973576,0.331831,1.373869,11.566654
30,0.973986,0.332446,1.374553,11.974364
31,0.973372,0.334084,1.373948,12.379907
32,0.972552,0.334289,1.373842,12.789198
33,0.970709,0.332241,1.372230,13.196599
34,0.970914,0.335723,1.376793,13.611595
35,0.975625,0.339205,1.380433,14.019722
36,0.971938,0.336747,1.379768,14.428004
37,0.970709,0.330602,1.372441,14.848075
38,0.968046,0.335109,1.376640,15.258465
39,0.971528,0.336133,1.377609,15.671938
40,0.975010,0.334494,1.376471,16.896067
41,0.977263,0.335928,1.381681,18.681650
42,0.976034,0.337567,1.381742,19.115100
43,0.971733,0.331422,1.372470,19.568682
44,0.970094,0.333470,1.372889,20.032348
45,0.973576,0.540762,1.679360,20.503738
46,0.987300,0.585621,1.717012,20.955543
47,0.990168,0.635190,1.781547,21.426735
