x,y,z,qx,qy,qz,qw
21.21114613623095,21.367735538065745,398.8652744443451,0.3807136591350854,0.9239257019930799,-0.0348213572511736,-0.014348519915125858
102.92143943064202,155.33462078729121,-353.9467938693514,-0.06920235530045865,-0.22973363202670144,0.9295333860367168,0.28000210102748396
-272.29217216902805,-163.93999165679887,-242.85932576502205,-0.3858384335243672,0.21807004840001495,-0.44107220229758376,0.7804034018164177
-175.21251971262853,-310.04719793874676,-182.1299206233927,-0.5046954163833957,0.13274085995785162,-0.21697804510513805,0.8249745018614779
274.54633583057415,-85.21503100846981,-278.14152507712885,-0.31422671238590844,-0.2314836211845937,0.5460753434716707,0.7412682548165056
-127.71619573375408,-35.8848708432209,-377.36037072255317,-0.13407932474555456,0.10159857908742949,-0.5953387853427631,0.7856667194617543
-193.78690705481802,25.745900378162798,-348.9753333229228,-0.16640451812668744,0.18997465539742794,-0.7278457236182275,0.6375419745117276
-98.37315748709705,374.6010912994139,99.98372009135797,-0.10123235946420571,0.7840482507547015,-0.6073475295335303,0.07841765270218219
59.37644550868018,-102.31595925735812,382.1071606238247,0.954777132502106,0.2569719401624169,-0.038868000897417015,-0.1444137380115116
73.06017920701144,26.636440021656494,392.3680800947142,0.5706137075266122,0.8153895369092778,-0.0800236857300743,-0.05600097859664182
168.17143818931132,87.6887890574719,352.17757403186937,0.502749005459881,0.8291353357859845,-0.20906485687062595,-0.12676718061796574
61.604057441509674,-211.02964903572828,-334.17275073620306,-0.2839642155277507,-0.04060031871125233,0.1355893939994733,0.9483308782566924
-56.24919108490253,-198.5188951968575,342.67517673755304,0.9543390264697533,-0.13259333874182622,0.036837793963127106,-0.2651395972200095
-68.8959144182601,17.519528675642853,393.63233999692545,-0.6113736373457724,0.7862968272572113,-0.0704314741118929,0.05476296612007937
-0.10783094155146299,90.83096367077353,389.5506698892028,-0.0005896906747683514,0.9934475273643856,-0.11428761103630969,6.783885068239227e-05
