1.0,0.365767,0.33629,0.274911,0.0304444,0.793651,0.040404,0.0246223,0.195441,0.262379,0.357167,0.504148
0.365767,1.0,0.0325137,0.538179,0.29255,0.353916,0.0520534,0.297227,0.0380202,0.0730485,0.721479,0.272324
0.33629,0.0325137,1.0,0.0728845,0.0725191,0.340256,0.125293,0.0665414,0.341181,0.425053,0.0285987,0.375652
0.274911,0.538179,0.0728845,1.0,0.246592,0.208538,0.0388485,0.295799,0.0750998,0.0241995,0.606551,0.102897
0.0304444,0.29255,0.0725191,0.246592,1.0,0.0402036,0.465343,0.608382,0.347965,0.275905,0.273748,0.0804215
0.793651,0.353916,0.340256,0.208538,0.0402036,1.0,0.0443993,0.0245098,0.198799,0.299298,0.283025,0.593429
0.040404,0.0520534,0.125293,0.0388485,0.465343,0.0443993,1.0,0.288703,0.608131,0.443063,0.0434783,0.0778235
0.0246223,0.297227,0.0665414,0.295799,0.608382,0.0245098,0.288703,1.0,0.224408,0.160353,0.326893,0.0405573
0.195441,0.0380202,0.341181,0.0750998,0.347965,0.198799,0.608131,0.224408,1.0,0.616275,0.0393058,0.216981
0.262379,0.0730485,0.425053,0.0241995,0.275905,0.299298,0.443063,0.160353,0.616275,1.0,0.0280884,0.398702
0.357167,0.721479,0.0285987,0.606551,0.273748,0.283025,0.0434783,0.326893,0.0393058,0.0280884,1.0,0.144204
0.504148,0.272324,0.375652,0.102897,0.0804215,0.593429,0.0778235,0.0405573,0.216981,0.398702,0.144204,1.0
