Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,394.369,-62.612,23.5058,-0.553349,-0.472427,0.445435,0.521733
0,1,-230.854,-55.5453,321.903,0.746148,-0.587913,0.193371,-0.245417
0,2,-163.498,118.183,-345.4,0.118886,-0.232629,0.859531,-0.439268
0,0,393.282,-71.1428,16.3814,-0.553681,-0.462509,0.44394,0.531452
0,1,-238.56,-63.0544,314.822,0.748952,-0.576714,0.199078,-0.258534
0,2,-155.511,110.346,-351.625,0.112863,-0.218473,0.86117,-0.444879
1,0,391.835,-79.9242,8.80929,-0.553688,-0.452151,0.442301,0.541626
1,1,-246.243,-70.5978,307.214,0.750883,-0.565856,0.204961,-0.271981
1,2,-146.891,102.783,-357.574,0.106369,-0.204251,0.863097,-0.449479
2,0,390.372,-87.2084,2.10538,-0.553271,-0.443309,0.440982,0.550366
2,1,-252.739,-76.5919,300.428,0.751485,-0.557499,0.210199,-0.28334
2,2,-138.852,98.4212,-361.985,0.100098,-0.193646,0.866973,-0.448151
3,0,389.228,-92.1441,-3.34547,-0.552286,-0.436805,0.440474,0.556924
3,1,-258.074,-80.3542,294.858,0.750595,-0.552431,0.214891,-0.291975
3,2,-131.532,98.6401,-364.65,0.0940125,-0.188015,0.874433,-0.43724
4,0,388.61,-94.4921,-7.33417,-0.550818,-0.432934,0.440946,0.561012
4,1,-262.314,-81.7191,290.712,0.748395,-0.550722,0.219064,-0.297694
4,2,-125.031,101.972,-366.017,0.0884049,-0.186179,0.88394,-0.419728
5,0,388.549,-94.481,-10.1314,-0.548855,-0.431387,0.442455,0.562937
5,1,-265.864,-80.9229,287.694,0.744958,-0.551955,0.223053,-0.301049
5,2,-119.396,106.856,-366.506,0.0835064,-0.186801,0.893616,-0.399477
6,0,388.893,-92.8035,-12.2345,-0.54645,-0.431392,0.444795,0.563428
6,1,-269.148,-78.6343,285.265,0.74054,-0.555142,0.227155,-0.303017
6,2,-114.522,112.453,-366.386,0.0793052,-0.189018,0.902545,-0.378676
7,0,389.308,-90.8057,-13.9008,-0.544175,-0.431854,0.447132,0.563426
7,1,-272.262,-76.1339,282.979,0.736083,-0.558486,0.231175,-0.304687
7,2,-110.163,117.963,-365.99,0.0756366,-0.19181,0.910295,-0.358957
7,3,51.7538,384.252,-98.3456,-0.0410748,-0.612683,0.787493,0.0527942
8,0,389.173,-90.956,-16.474,-0.542454,-0.430292,0.448394,0.565275
8,1,-279.266,-74.1926,276.597,0.729007,-0.56062,0.239424,-0.311337
8,2,-100.705,127.451,-365.533,0.0681137,-0.196071,0.924051,-0.321009
8,3,57.8476,385.557,-89.4382,-0.0463518,-0.621332,0.780008,0.058189
9,0,388.232,-94.7805,-17.0954,-0.544126,-0.427267,0.445936,0.5679
9,1,-283.859,-75.9542,271.395,0.726696,-0.557814,0.244135,-0.318048
9,2,-94.8726,131.124,-365.795,0.0637037,-0.196719,0.9308,-0.301421
