method,n_seeds,num_viewpoints_mean,num_viewpoints_std,coverage_auc_mean,coverage_auc_std,solution_time_mean,solution_time_std,exclusive_area_mean,exclusive_area_std,overlap_entropy_mean,overlap_entropy_std,cv_overlap_neighbors_mean,cv_overlap_neighbors_std,gini_overlap_neighbors_mean,gini_overlap_neighbors_std
Greedy,10,12.8,1.661325,15.330645,2.341541,17.734161,2.337599,0.103305,0.051022,0.907699,0.010948,0.672221,0.047013,0.361143,0.020117
Genetic,10,8.5,0.921954,21.598389,3.136115,31.246758,4.39219,0.432689,0.209055,0.908851,0.01685,0.593831,0.061353,0.318842,0.029185
SA,10,8.3,1.268858,26.078262,13.002877,27.946719,13.324355,0.689151,0.676743,0.85545,0.044782,0.726093,0.133578,0.383462,0.058731
Potential Field,10,8.4,0.663325,85.650131,16.049631,87.678428,16.358941,0.786652,0.310396,0.885791,0.008155,0.663061,0.031647,0.357236,0.014437
