x,y,z,qx,qy,qz,qw
-292.353,206.768,-178.261,0.241997,-0.467559,0.755052,-0.390797
-124.803,-351.841,-143.639,-0.557883,0.0960141,-0.139818,0.812403
302.724,-213.176,-151.375,-0.494832,-0.256754,0.382357,0.7369
143.984,-99.8913,359.57,0.863329,0.451801,-0.104236,-0.19918
-229.618,-286.2,159.265,-0.788784,0.277311,-0.18194,0.51751
