50.245511,32.534409
50.245414,32.534436
50.239689,32.534457
178.247910,32.668325
178.247814,32.667651
178.242047,32.668762
50.510650,89.599336
50.510591,89.599336
50.511458,89.599336
205.335392,89.600020
205.336001,89.600020
205.335963,89.600020
50.252491,157.029511
50.252521,157.029396
50.244617,157.029489
194.646456,153.599889
194.627844,153.599877
194.630189,153.599879
77.586516,223.911024
77.578718,223.892476
77.578707,223.900447
178.508477,223.751559
178.508465,223.750992
178.500662,223.748988
