Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
18,3,147.203,-179.338,-325.837,-0.286672,-0.102586,0.32093,0.896827
19,0,-205.81,256.741,-227.434,0.153951,-0.438185,0.835535,-0.293554
19,1,-209.547,-216.944,262.726,0.843875,-0.341003,0.155197,-0.384065
19,2,324.34,155.064,175.381,0.452218,0.717444,-0.448263,-0.282548
19,3,151.078,-174.126,-326.888,-0.283214,-0.105738,0.333402,0.893002
19,4,-106.293,168.926,346.649,-0.267742,0.928238,-0.248125,0.0715694
20,0,-182.642,256.803,-246.362,0.133313,-0.417462,0.856261,-0.27344
20,1,-200.245,-253.389,236,0.842242,-0.292625,0.148595,-0.427691
20,2,347.691,131.549,147.667,0.470283,0.680748,-0.462078,-0.319218
20,3,155.528,-159.649,-332.15,-0.269781,-0.109686,0.36031,0.886207
20,4,-145.646,220.896,299.987,-0.268787,0.895956,-0.338665,0.101599
21,0,-160.267,240.289,-276.723,0.113795,-0.375695,0.880238,-0.266618
21,1,-180.638,-295.376,200.306,0.83383,-0.234756,0.135398,-0.48092
21,2,370.05,97.2057,116.68,0.490797,0.636371,-0.471236,-0.363437
21,3,147.305,-155.091,-338.006,-0.258534,-0.10321,0.356106,0.892018
21,4,-136.76,272.643,258.771,-0.209056,0.88304,-0.40886,0.096796
22,0,-144.644,222.448,-299.324,0.100853,-0.340108,0.896383,-0.265806
22,1,-158.562,-324.293,172.314,-0.824037,0.19067,-0.120263,0.519754
22,2,381.84,65.3238,99.6548,0.509534,0.604106,-0.468369,-0.395047
22,3,140.232,-159.643,-338.894,-0.258621,-0.0974575,0.338894,0.899315
22,4,-108.357,291.946,251.05,-0.159462,0.88791,-0.424699,0.0762728
