Timestep,CoverageScore
0,0.4413
1,0.2995
2,0.3433
3,0.3713
4,0.2802
5,0.2907
6,0.3398
7,0.3144
8,0.3091
9,0.2820
10,0.2732
11,0.2548
12,0.2741
13,0.2916
14,0.2785
15,0.2671
16,0.2566
17,0.2653
18,0.2741
19,0.2566
20,0.2697
21,0.2741
22,0.2680
23,0.5184
24,0.6287
25,0.6235
26,0.5867
27,0.6060
28,0.5779
29,0.5438
30,0.5175
31,0.5219
32,0.5271
33,0.5254
34,0.5342
35,0.5534
36,0.5779
37,0.5893
38,0.6103
39,0.6384
40,0.6392
41,0.6278
42,0.6384
43,0.6515
44,0.6576
45,0.6760
46,0.6629
47,0.6620
48,0.6664
49,0.6664
50,0.6795
51,0.6743
52,0.6699
53,0.6821
54,0.6786
55,0.6760
56,0.6699
57,0.6690
58,0.6567
59,0.6559
60,0.6594
61,0.6497
62,0.6506
63,0.6480
64,0.6392
65,0.6331
66,0.6243
67,0.6384
68,0.6445
69,0.6620
70,0.6506
71,0.7750
72,0.8214
73,0.8187
74,0.7916
75,0.7925
76,0.8187
77,0.8476
78,0.8713
79,0.8888
80,0.8975
81,0.9063
82,0.9177
83,0.9335
84,0.9431
85,0.9413
86,0.9378
87,0.9361
88,0.9405
89,0.9396
90,0.9370
91,0.9361
92,0.9308
93,0.9282
94,0.9282
95,0.9291
96,0.9177
97,0.9116
98,0.9212
99,0.9177
100,0.9133
101,0.9011
102,0.8993
103,0.9081
104,0.9054
105,0.9089
106,0.9028
107,0.8958
108,0.8923
109,0.8932
110,0.8897
111,0.8888
112,0.8853
113,0.8914
114,0.9054
115,0.9142
116,0.9159
117,0.9186
118,0.9124
119,0.8984
120,0.8932
121,0.9282
122,0.9335
123,0.9492
124,0.9737
125,0.9790
126,0.9842
127,0.9834
128,0.9860
129,0.9860
130,0.9877
131,0.9895
132,0.9904
133,0.9895
134,0.9921
135,0.9904
136,0.9886
137,0.9877
138,0.9886
139,0.9877
140,0.9877
141,0.9895
142,0.9886
143,0.9886
144,0.9895
145,0.9895
146,0.9877
147,0.9886
148,0.9886
149,0.9877
150,0.9877
151,0.9895
152,0.9886
153,0.9895
154,0.9869
155,0.9869
156,0.9851
157,0.9851
158,0.9860
159,0.9869
160,0.9860
161,0.9869
162,0.9930
163,0.9912
164,0.9921
165,0.9930
166,0.9904
167,0.9904
168,0.9921
169,0.9956
