gamma,k_attr,k_rep,lambda_max_real_median,lambda_max_real_mean,lambda_max_real_min,lambda_max_real_max,frac_cts_stable_tail,spectral_radius_median,spectral_radius_mean,spectral_radius_max,frac_disc_stable_tail,min_spacing_tail_mean,min_spacing_tail_min
0.001,0.00025,0.25,0.031777579788178675,0.03179468429468642,0.030347947939347825,0.03331457024338892,0.0,1.0006355515957637,1.0006358936858937,1.0006662914048678,0.0,59.018309923611554,58.74410547687463
0.0011497569953977356,0.0002874392488494339,0.25,0.03162629536886489,0.03164381454378553,0.030195037903380777,0.03316800397690977,0.0,1.0006325259073772,1.0006328762908758,1.0006633600795383,0.0,59.02156712578758,58.74714398120479
0.0013219411484660286,0.00033048528711650716,0.25,0.03145228272907642,0.04010988856326546,0.03001916505476655,0.46472751404231805,0.0,1.0006290456545814,1.0008021977712653,1.0092945502808464,0.0,59.02531857474364,58.75063538492574
0.0015199110829529332,0.0003799777707382333,0.25,0.03125201944574078,0.031270004288141154,0.02981678462297683,0.032805495478115794,0.0,1.0006250403889148,1.0006254000857628,1.0006561099095623,0.0,59.02966143434979,58.75467959038593
0.001747528400007683,0.00043688210000192073,0.25,0.03102194204697266,0.03104046897222753,0.02958426047957647,0.03258257773551112,0.0,1.0006204388409397,1.0006208093794444,1.0006516515547101,0.0,59.03461950424986,58.75930414215153
0.002009233002565048,0.000502308250641262,0.25,0.030757210183121986,0.030775595128775608,0.02931672911984334,0.03232625269443799,0.0,1.0006151442036624,1.0006155119025757,1.0006465250538887,0.0,59.040343706286194,58.76461888924089
0.0023101297000831605,0.0005775324250207901,0.25,0.030452835257129662,0.030471850241761925,0.029009155744288195,0.03203140533860949,0.0,1.0006090567051427,1.0006094370048353,1.0006406281067721,0.0,59.04691043980538,58.77074312726802
0.0026560877829466868,0.0006640219457366717,0.25,0.030102735531403264,0.03012143500901353,0.028655354482097776,0.031692438551139394,0.0,1.0006020547106282,1.0006024287001802,1.0006338487710227,0.0,59.05447143533235,58.77776022703727
0.0030538555088334154,0.0007634638772083538,0.25,0.02969989895316472,0.05067568132444147,0.028248321146658827,1.078867861056683,0.0,1.0005939979790632,1.0010135136264888,1.0215773572211337,0.0,59.06320156564392,58.78586122228341
0.003511191734215131,0.0008777979335537827,0.25,0.02923694219413519,0.05355286705237829,0.027780555928445715,1.245711001399902,0.0,1.0005847388438827,1.0010710573410475,1.0249142200279981,0.0,59.07316822640776,58.795123330709814
0.004037017258596553,0.0010092543146491384,0.25,0.028704165994595264,0.028722026553675475,0.0272422731171477,0.03029856911266889,0.0,1.0005740833198917,1.0005744405310737,1.0006059713822533,0.0,59.08469149380784,58.805839197341434
0.004641588833612782,0.0011603972084031956,0.25,0.02809114286503839,0.028108658748773382,0.026622957841436746,0.029698928192080632,0.0,1.0005618228573008,1.0005621731749754,1.0005939785638416,0.0,59.09796550642507,58.818185303642416
0.005336699231206312,0.001334174807801578,0.25,0.027385825273835193,0.02740176838890187,0.025910459313331146,0.028957105138000608,0.0,1.0005477165054768,1.000548035367778,1.00057914210276,0.0,59.11325558537451,58.83236998678606
0.006135907273413176,0.001533976818353294,0.25,0.026574770905814466,0.026590947785601747,0.025091222423081434,0.028155630355764787,0.0,1.0005314954181164,1.000531818955712,1.0005631126071153,0.0,59.130777411928584,58.84870713318116
0.007054802310718645,0.0017637005776796613,0.25,0.025641000701044567,0.025657468745155305,0.024148131808903864,0.027232800619120437,0.0,1.0005128200140208,1.000513149374903,1.0005446560123825,0.0,59.151040325867655,58.86762208417454
0.008111308307896872,0.002027827076974218,0.25,0.024566787849973452,0.024583563932469035,0.023063397411416546,0.026171036353488837,0.0,1.0004913357569993,1.0004916712786496,1.0005234207270697,0.0,59.174309237156685,58.88935584856696
0.0093260334688322,0.00233150836720805,0.25,0.023330505478578546,0.02334768133432858,0.021815112482598938,0.024948827565323833,0.0,1.0004666101095716,1.0004669536266866,1.0004989765513064,0.0,59.20108657691955,58.914388749874725
0.010722672220103232,0.002680668055025808,0.25,0.02190739338084996,0.021924959792452525,0.02037840142232059,0.02354185448329869,0.0,1.000438147867617,1.000438499195849,1.000470837089666,0.0,59.23194393701362,58.9432687377471
0.012328467394420659,0.0030821168486051646,0.25,0.02026886405451484,0.020286940736430874,0.018724578824652963,0.021921496577411128,0.0,1.0004053772810904,1.0004057388147287,1.0004384299315483,0.0,59.26751289678487,58.97660231952648
0.014174741629268055,0.003543685407317014,0.25,0.018382667489490315,0.018401402934574377,0.016821289334774676,0.020055879555213436,0.0,1.0003676533497898,1.0003680280586915,1.0004011175911043,0.0,59.30838767829141,59.01495428011495
0.016297508346206444,0.004074377086551611,0.25,0.016211337506314646,0.01623078578941093,0.014630740340061642,0.017907783816189446,0.0,1.0003242267501262,1.0003246157157881,1.0003581556763237,0.0,59.35533407649671,59.05906237302403
0.01873817422860384,0.00468454355715096,0.25,0.013710939069968595,0.013731097270823233,0.01210886436906716,0.015433204674998756,0.0,1.0002742187813993,1.0002746219454164,1.0003086640935,0.0,59.40933988611781,59.10989121558621
0.021544346900318846,0.0053860867250797115,0.25,0.010829830407954794,0.010850955383069268,0.009204301319846727,0.01258086181177944,0.0,1.000216596608159,1.0002170191076616,1.0002516172362357,0.0,59.47162236301333,59.16863732852059
0.024770763559917114,0.0061926908899792785,0.25,0.0075102066296200976,0.007532395517874918,0.005858883872362116,0.009293137308165958,0.0,1.0001502041325925,1.0001506479103575,1.0001858627461633,0.0,59.54335301220275,59.236457324442355
0.02848035868435802,0.007120089671089505,0.25,0.0036866624067891504,0.003679247009752569,0.0015702790061575774,0.005504357001206317,0.0,1.0000737332481358,1.000073584940195,1.0001100871400241,0.0,59.62563037838345,59.31438765382502
0.03274549162877728,0.00818637290719432,0.25,-0.0006460242536017546,0.21850755731793697,-0.0029425817304218355,10.964030206178755,0.68,0.9999870795149279,1.0043701511463587,1.219280604123575,0.68,59.72035879292081,59.403882011324
0.037649358067924674,0.009412339516981168,0.25,-0.0057956087542999244,-0.006000097004444759,-0.008141711967458033,-0.0038992924328415373,1.0,0.999884087824914,0.9998799980599111,0.9999220141513432,1.0,59.83005418531032,59.5071303218242
0.04328761281083059,0.010821903202707648,0.25,-0.012316572423790813,-0.012024377870264679,-0.014133332391750613,-0.009704675823390994,1.0,0.9997536685515243,0.9997595124425948,0.9998059064835322,1.0,59.9568309683236,59.625236637251575
0.049770235643321115,0.012442558910830279,0.25,-0.019179692309409472,-0.01899067463496883,-0.021032298139333657,-0.01639906011976243,1.0,0.9996164061538118,0.9996201865073006,0.9996720187976047,1.0,60.10331343267915,59.76048247287881
0.05722367659350217,0.014305919148375543,0.25,-0.02709000793442584,-0.027055318917012388,-0.02897394588614926,-0.02500191633071061,1.0,0.9994581998413115,0.9994588936216597,0.9994999616733858,1.0,60.272897577214614,59.91523938174103
0.06579332246575682,0.016448330616439206,0.25,-0.03343107665454685,-0.0334285731767446,-0.03358487341048038,-0.03326279521816701,1.0,0.9993313784669091,0.9993314285364652,0.9993347440956366,1.0,60.46796811101351,60.10237748414955
