E_attr,E_rep,E_tot,N,dE_dt,force_mean,lambda_max_real,need_mean,pot_var,r_mean,r_min,rho_I_plus_etaJ,spacing_ratio,speed_mean,step
5.504446454472095938e+05,1.344367387402686198e+01,5.504480063656781567e+05,2.000000000000000000e+00,-1.079660141840577126e-04,1.025811640443310968e-03,nan,7.466054558753967285e-01,9.331911624612127198e+00,4.984194075830741610e+01,4.984194075830741610e+01,nan,2.492097037915370628e+00,1.025811640443310968e-03,1.000000000000000000e+01
5.504446455581258051e+05,1.344368312489078043e+01,5.504480064789070748e+05,2.000000000000000000e+00,1.132289180532097816e-04,3.290724312728636361e-04,nan,7.466054558753967285e-01,9.331911628511310397e+00,4.984193523588980668e+01,4.984193523588980668e+01,nan,2.492096761794490245e+00,3.290724312728636361e-04,1.100000000000000000e+01
5.504446456013782881e+05,1.344368107221166397e+01,5.504480065216463991e+05,2.000000000000000000e+00,4.273932427167892456e-05,1.158231483484340607e-04,nan,7.466054558753967285e-01,9.331911625859328652e+00,4.984193646126171018e+01,4.984193646126171018e+01,nan,2.492096823063085331e+00,1.158231483484340607e-04,1.200000000000000000e+01
5.504446456154969055e+05,1.344368152260092941e+01,5.504480065358775901e+05,2.000000000000000000e+00,1.423119101673364639e-05,4.131047676473610495e-05,nan,7.466054558753967285e-01,9.331911626604156851e+00,4.984193619239631801e+01,4.984193619239631801e+01,nan,2.492096809619815723e+00,4.131047676473610495e-05,1.300000000000000000e+01
5.504446456141795497e+05,1.344368145305879736e+01,5.504480065345427720e+05,2.000000000000000000e+00,-1.334818080067634583e-06,1.536471202453704857e-05,nan,7.466054558753967285e-01,9.331911627917049756e+00,4.984193623391034578e+01,4.984193623391034578e+01,nan,2.492096811695517111e+00,1.536471202453704857e-05,1.400000000000000000e+01
5.504446456850495888e+05,1.344368146272773501e+01,5.504480066054152558e+05,2.000000000000000000e+00,7.087248377501964569e-05,5.647078874379474068e-06,nan,7.466055750846862793e-01,9.331911629218165416e+00,4.984193622813835134e+01,4.984193622813835134e+01,nan,2.492096811406917745e+00,5.647078874379474068e-06,1.500000000000000000e+01
5.504446457989693154e+05,1.344368145500077105e+01,5.504480067193331197e+05,2.000000000000000000e+00,1.139178639277815819e-04,2.180298248617098766e-06,nan,7.466055750846862793e-01,9.331911628073623177e+00,4.984193623275105978e+01,4.984193623275105978e+01,nan,2.492096811637552811e+00,2.180298248617098766e-06,1.600000000000000000e+01
5.504446458018608391e+05,1.344368147913193745e+01,5.504480067222305806e+05,2.000000000000000000e+00,2.897460944950580597e-06,8.516736878759958456e-07,nan,7.466055750846862793e-01,9.331911630234339228e+00,4.984193621834566557e+01,4.984193621834566557e+01,nan,2.492096810917283189e+00,8.516736878759958456e-07,1.700000000000000000e+01
5.504446457853340544e+05,1.344368146194785574e+01,5.504480067056994885e+05,2.000000000000000000e+00,-1.653109211474657059e-05,3.928905636295559646e-07,nan,7.466055750846862793e-01,9.331911630017321713e+00,4.984193622860391315e+01,4.984193622860391315e+01,nan,2.492096811430195569e+00,3.928905636295559646e-07,1.800000000000000000e+01
5.504446458045698237e+05,1.344368147440780525e+01,5.504480067249384010e+05,2.000000000000000000e+00,1.923891250044107437e-05,2.435417092905454046e-07,nan,7.466055750846862793e-01,9.331911629752163151e+00,4.984193622116579547e+01,4.984193622116579547e+01,nan,2.492096811058289951e+00,2.435417092905454046e-07,1.900000000000000000e+01
5.504446457882517716e+05,1.344368146520071505e+01,5.504480067086180206e+05,2.000000000000000000e+00,-1.632038038223981857e-05,1.964973485423199460e-07,nan,7.466055750846862793e-01,9.331911631103562144e+00,4.984193622666207801e+01,4.984193622666207801e+01,nan,2.492096811333103901e+00,1.964973485423199460e-07,2.000000000000000000e+01
5.504446458004375454e+05,1.344368147070001029e+01,5.504480067208051914e+05,2.000000000000000000e+00,1.218717079609632492e-05,8.207541594715880151e-08,nan,7.466055750846862793e-01,9.331911630955204373e+00,4.984193622337920715e+01,4.984193622337920715e+01,nan,2.492096811168960535e+00,8.207541594715880151e-08,2.100000000000000000e+01
5.504446457953633508e+05,1.344368147150396098e+01,5.504480067157312296e+05,2.000000000000000000e+00,-5.073961801826953888e-06,1.414491746787218964e-08,nan,7.466055750846862793e-01,9.331911631294964593e+00,4.984193622289927816e+01,4.984193622289927816e+01,nan,2.492096811144963731e+00,1.414491746787218964e-08,2.200000000000000000e+01
5.504446457942655543e+05,1.344368147204992425e+01,5.504480067146335496e+05,2.000000000000000000e+00,-1.097680069506168365e-06,8.450367557202731529e-09,nan,7.466055750846862793e-01,9.331911631372001636e+00,4.984193622257335932e+01,4.984193622257335932e+01,nan,2.492096811128667877e+00,8.450367557202731529e-09,2.300000000000000000e+01
5.504446457953508943e+05,1.344368147211004505e+01,5.504480067157188896e+05,2.000000000000000000e+00,1.085340045392513275e-06,1.199095840317835468e-09,nan,7.466055750846862793e-01,9.331911631265292328e+00,4.984193622253746980e+01,4.984193622253746980e+01,nan,2.492096811126873313e+00,1.199095840317835468e-09,2.400000000000000000e+01
5.504446457953507779e+05,1.344368147216109577e+01,5.504480067157187732e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.180794135584663177e-09,nan,7.466055750846862793e-01,9.331911631265290552e+00,4.984193622250699462e+01,4.984193622250699462e+01,nan,2.492096811125349642e+00,1.180794135584663177e-09,2.500000000000000000e+01
5.504446457953506615e+05,1.344368147220442822e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.210516325644015673e-09,nan,7.466055750846862793e-01,9.331911631265288776e+00,4.984193622248112376e+01,4.984193622248112376e+01,nan,2.492096811124056011e+00,1.210516325644015673e-09,2.600000000000000000e+01
5.504446457953506615e+05,1.344368147224123433e+01,5.504480067157187732e+05,2.000000000000000000e+00,1.164153218269348145e-10,1.283929696177828385e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622245915378e+01,4.984193622245915378e+01,nan,2.492096811122957778e+00,1.283929696177828385e-09,2.700000000000000000e+01
5.504446457953505451e+05,1.344368147227246268e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.396456627397887525e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622244050914e+01,4.984193622244050914e+01,nan,2.492096811122025635e+00,1.396456627397887525e-09,2.800000000000000000e+01
5.504446457953504287e+05,1.344368147229898369e+01,5.504480067157185404e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.544578741109271563e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622242467825e+01,4.984193622242467825e+01,nan,2.492096811121233824e+00,1.544578741109271563e-09,2.900000000000000000e+01
5.504446457973966608e+05,1.344368147208073694e+01,5.504480067177646561e+05,2.000000000000000000e+00,2.046115696430206299e-06,7.993453056480512263e-09,nan,7.466055750846862793e-01,9.331911631096337700e+00,4.984193622255496336e+01,4.984193622255496336e+01,nan,2.492096811127748168e+00,7.993453056480512263e-09,3.000000000000000000e+01
5.504446457953508943e+05,1.344368147213620546e+01,5.504480067157188896e+05,2.000000000000000000e+00,-2.045766450464725494e-06,1.093016513105659929e-09,nan,7.466055750846862793e-01,9.331911631265292328e+00,4.984193622252185207e+01,4.984193622252185207e+01,nan,2.492096811126092604e+00,1.093016513105659929e-09,3.100000000000000000e+01
5.504446457953507779e+05,1.344368147218329312e+01,5.504480067157187732e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.072031169552528489e-09,nan,7.466055750846862793e-01,9.331911631265290552e+00,4.984193622249374300e+01,4.984193622249374300e+01,nan,2.492096811124687061e+00,1.072031169552528489e-09,3.200000000000000000e+01
5.504446457953506615e+05,1.344368147222328247e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.094965817997059887e-09,nan,7.466055750846862793e-01,9.331911631265288776e+00,4.984193622246986877e+01,4.984193622246986877e+01,nan,2.492096811123493350e+00,1.094965817997059887e-09,3.300000000000000000e+01
5.504446457953505451e+05,1.344368147225723398e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.157999434792518699e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622244960409e+01,4.984193622244960409e+01,nan,2.492096811122480382e+00,1.157999434792518699e-09,3.400000000000000000e+01
5.504446457953505451e+05,1.344368147228607491e+01,5.504480067157186568e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.256914140708880541e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622243238764e+01,4.984193622243238764e+01,nan,2.492096811121619293e+00,1.256914140708880541e-09,3.500000000000000000e+01
5.504446457953505451e+05,1.344368147231054778e+01,5.504480067157186568e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.388391153296737797e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622241777888e+01,4.984193622241777888e+01,nan,2.492096811120888766e+00,1.388391153296737797e-09,3.600000000000000000e+01
5.504446457953504287e+05,1.344368147233133470e+01,5.504480067157185404e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.550569444924065917e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622240536570e+01,4.984193622240536570e+01,nan,2.492096811120268374e+00,1.550569444924065917e-09,3.700000000000000000e+01
5.504446457973965444e+05,1.344368147210818876e+01,5.504480067177645396e+05,2.000000000000000000e+00,2.045999281108379364e-06,7.996327419124709651e-09,nan,7.466055750846862793e-01,9.331911631096337700e+00,4.984193622253857825e+01,4.984193622253857825e+01,nan,2.492096811126928824e+00,7.996327419124709651e-09,3.800000000000000000e+01
5.504446457953507779e+05,1.344368147215951481e+01,5.504480067157187732e+05,2.000000000000000000e+00,-2.045766450464725494e-06,1.070255216033000797e-09,nan,7.466055750846862793e-01,9.331911631265290552e+00,4.984193622250793965e+01,4.984193622250793965e+01,nan,2.492096811125397160e+00,1.070255216033000797e-09,3.900000000000000000e+01
5.504446457953507779e+05,1.344368147220308352e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.068503988480758699e-09,nan,7.466055750846862793e-01,9.331911631265288776e+00,4.984193622248192668e+01,4.984193622248192668e+01,nan,2.492096811124096423e+00,1.068503988480758699e-09,4.000000000000000000e+01
5.504446457953506615e+05,1.344368147224009391e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.108810972738235626e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622245983590e+01,4.984193622245983590e+01,nan,2.492096811122991973e+00,1.108810972738235626e-09,4.100000000000000000e+01
5.504446457953506615e+05,1.344368147227151944e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.187064802814715623e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622244107758e+01,4.984193622244107758e+01,nan,2.492096811122054056e+00,1.187064802814715623e-09,4.200000000000000000e+01
5.504446457953505451e+05,1.344368147229817723e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.299394258554028268e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622242516142e+01,4.984193622242516142e+01,nan,2.492096811121258249e+00,1.299394258554028268e-09,4.300000000000000000e+01
5.504446457953504287e+05,1.344368147232083821e+01,5.504480067157185404e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.443087655865897033e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622241163268e+01,4.984193622241163268e+01,nan,2.492096811120581457e+00,1.443087655865897033e-09,4.400000000000000000e+01
5.504446457953504287e+05,1.344368147234006372e+01,5.504480067157185404e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.616906405742542628e-09,nan,7.466055750846862793e-01,9.331911631265281670e+00,4.984193622240015742e+01,4.984193622240015742e+01,nan,2.492096811120007693e+00,1.616906405742542628e-09,4.500000000000000000e+01
5.504446457973966608e+05,1.344368147211561570e+01,5.504480067177646561e+05,2.000000000000000000e+00,2.046115696430206299e-06,7.930407769432910108e-09,nan,7.466055750846862793e-01,9.331911631096335924e+00,4.984193622253414446e+01,4.984193622253414446e+01,nan,2.492096811126707223e+00,7.930407769432910108e-09,4.600000000000000000e+01
5.504446457953507779e+05,1.344368147216582976e+01,5.504480067157187732e+05,2.000000000000000000e+00,-2.045882865786552429e-06,1.125697610908105608e-09,nan,7.466055750846862793e-01,9.331911631265290552e+00,4.984193622250416666e+01,4.984193622250416666e+01,nan,2.492096811125208422e+00,1.125697610908105608e-09,4.700000000000000000e+01
5.504446457953507779e+05,1.344368147220845877e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.145704428161266595e-09,nan,7.466055750846862793e-01,9.331911631265288776e+00,4.984193622247872213e+01,4.984193622247872213e+01,nan,2.492096811123936106e+00,1.145704428161266595e-09,4.800000000000000000e+01
5.504446457953506615e+05,1.344368147224464138e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.208174132836084858e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622245712163e+01,4.984193622245712163e+01,nan,2.492096811122856082e+00,1.208174132836084858e-09,4.900000000000000000e+01
5.504446457953505451e+05,1.344368147227537058e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.308735672397797779e-09,-1.621601386943872569e+01,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622243877542e+01,4.984193622243877542e+01,6.756797226112254418e-01,2.492096811121938593e+00,1.308735672397797779e-09,5.000000000000000000e+01
5.504446457953504287e+05,1.344368147230145993e+01,5.504480067157185404e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.443760401006123467e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622242320032e+01,4.984193622242320032e+01,nan,2.492096811121160105e+00,1.443760401006123467e-09,5.100000000000000000e+01
5.504446457953504287e+05,1.344368147232360400e+01,5.504480067157185404e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.611135327784850605e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622240998423e+01,4.984193622240998423e+01,nan,2.492096811120499300e+00,1.611135327784850605e-09,5.200000000000000000e+01
5.504446457973966608e+05,1.344368147210163755e+01,5.504480067177646561e+05,2.000000000000000000e+00,2.046115696430206299e-06,7.929674230746484596e-09,nan,7.466055750846862793e-01,9.331911631096335924e+00,4.984193622254248623e+01,4.984193622254248623e+01,nan,2.492096811127124223e+00,7.929674230746484596e-09,5.300000000000000000e+01
5.504446457953507779e+05,1.344368147215396192e+01,5.504480067157187732e+05,2.000000000000000000e+00,-2.045882865786552429e-06,1.133402700115354542e-09,nan,7.466055750846862793e-01,9.331911631265290552e+00,4.984193622251125078e+01,4.984193622251125078e+01,nan,2.492096811125562361e+00,1.133402700115354542e-09,5.400000000000000000e+01
5.504446457953507779e+05,1.344368147219838505e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.143525498897422313e-09,nan,7.466055750846862793e-01,9.331911631265288776e+00,4.984193622248473332e+01,4.984193622248473332e+01,nan,2.492096811124236755e+00,1.143525498897422313e-09,5.500000000000000000e+01
5.504446457953506615e+05,1.344368147223608823e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.197362527330094030e-09,nan,7.466055750846862793e-01,9.331911631265286999e+00,4.984193622246222333e+01,4.984193622246222333e+01,nan,2.492096811123110989e+00,1.197362527330094030e-09,5.600000000000000000e+01
5.504446457953505451e+05,1.344368147226811061e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.290438725419794522e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622244310973e+01,4.984193622244310973e+01,nan,2.492096811122155309e+00,1.290438725419794522e-09,5.700000000000000000e+01
5.504446457953505451e+05,1.344368147229529953e+01,5.504480067157186568e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.418797353066538116e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622242688093e+01,4.984193622242688093e+01,nan,2.492096811121343958e+00,1.418797353066538116e-09,5.800000000000000000e+01
5.504446457953505451e+05,1.344368147231838684e+01,5.504480067157186568e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.580047068006382759e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622241309640e+01,4.984193622241309640e+01,nan,2.492096811120654731e+00,1.580047068006382759e-09,5.900000000000000000e+01
5.504446457973965444e+05,1.344368147209719133e+01,5.504480067177645396e+05,2.000000000000000000e+00,2.045882865786552429e-06,7.960690387037159835e-09,nan,7.466055750846862793e-01,9.331911631096337700e+00,4.984193622254514366e+01,4.984193622254514366e+01,nan,2.492096811127257006e+00,7.960690387037159835e-09,6.000000000000000000e+01
5.504446457953507779e+05,1.344368147215018183e+01,5.504480067157187732e+05,2.000000000000000000e+00,-2.045766450464725494e-06,1.108476390407739584e-09,nan,7.466055750846862793e-01,9.331911631265290552e+00,4.984193622251351030e+01,4.984193622251351030e+01,nan,2.492096811125675604e+00,1.108476390407739584e-09,6.100000000000000000e+01
5.504446457953507779e+05,1.344368147219516629e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.107669412783783107e-09,nan,7.466055750846862793e-01,9.331911631265288776e+00,4.984193622248665179e+01,4.984193622248665179e+01,nan,2.492096811124332678e+00,1.107669412783783107e-09,6.200000000000000000e+01
5.504446457953506615e+05,1.344368147223337218e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.150400006478597339e-09,nan,7.466055750846862793e-01,9.331911631265286999e+00,4.984193622246385047e+01,4.984193622246385047e+01,nan,2.492096811123192701e+00,1.150400006478597339e-09,6.300000000000000000e+01
5.504446457953505451e+05,1.344368147226580135e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.232374873516063477e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622244448818e+01,4.984193622244448818e+01,nan,2.492096811122224587e+00,1.232374873516063477e-09,6.400000000000000000e+01
5.504446457953505451e+05,1.344368147229331711e+01,5.504480067157186568e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.349556271834113126e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622242806043e+01,4.984193622242806043e+01,nan,2.492096811121403022e+00,1.349556271834113126e-09,6.500000000000000000e+01
5.504446457953505451e+05,1.344368147231669575e+01,5.504480067157186568e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.499153479839349046e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622241410537e+01,4.984193622241410537e+01,nan,2.492096811120705357e+00,1.499153479839349046e-09,6.600000000000000000e+01
5.504446457953504287e+05,1.344368147233654653e+01,5.504480067157185404e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.679986006633314022e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622240225352e+01,4.984193622240225352e+01,nan,2.492096811120112498e+00,1.679986006633314022e-09,6.700000000000000000e+01
5.504446457972747739e+05,1.344368147214644438e+01,5.504480067176427692e+05,2.000000000000000000e+00,1.924228854477405548e-06,8.196456872955211884e-09,nan,7.466055750846862793e-01,9.331911631109534255e+00,4.984193622251574141e+01,4.984193622251574141e+01,nan,2.492096811125787070e+00,8.196456872955211884e-09,6.800000000000000000e+01
5.504446457953507779e+05,1.344368147219199905e+01,5.504480067157187732e+05,2.000000000000000000e+00,-1.923996023833751678e-06,1.083425700525772877e-09,nan,7.466055750846862793e-01,9.331911631265288776e+00,4.984193622248854894e+01,4.984193622248854894e+01,nan,2.492096811124427269e+00,1.083425700525772877e-09,6.900000000000000000e+01
5.504446457953506615e+05,1.344368147223066501e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.117391441341597007e-09,nan,7.466055750846862793e-01,9.331911631265286999e+00,4.984193622246546340e+01,4.984193622246546340e+01,nan,2.492096811123273081e+00,1.117391441341597007e-09,7.000000000000000000e+01
5.504446457953505451e+05,1.344368147226351340e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.190685970220456649e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622244585242e+01,4.984193622244585242e+01,nan,2.492096811122292532e+00,1.190685970220456649e-09,7.100000000000000000e+01
5.504446457953505451e+05,1.344368147229139510e+01,5.504480067157186568e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.299213570260013973e-09,nan,7.466055750846862793e-01,9.331911631265285223e+00,4.984193622242921151e+01,4.984193622242921151e+01,nan,2.492096811121460753e+00,1.299213570260013973e-09,7.200000000000000000e+01
5.504446457953505451e+05,1.344368147231506683e+01,5.504480067157186568e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.439943473288115978e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622241507882e+01,4.984193622241507882e+01,nan,2.492096811120753763e+00,1.439943473288115978e-09,7.300000000000000000e+01
5.504446457953504287e+05,1.344368147233515742e+01,5.504480067157185404e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.611437375619492064e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622240308486e+01,4.984193622240308486e+01,nan,2.492096811120154243e+00,1.611437375619492064e-09,7.400000000000000000e+01
5.504446457973965444e+05,1.344368147211143594e+01,5.504480067177645396e+05,2.000000000000000000e+00,2.045999281108379364e-06,7.933932298561334423e-09,nan,7.466055750846862793e-01,9.331911631096335924e+00,4.984193622253663847e+01,4.984193622253663847e+01,nan,2.492096811126832012e+00,7.933932298561334423e-09,7.500000000000000000e+01
5.504446457953507779e+05,1.344368147216227172e+01,5.504480067157187732e+05,2.000000000000000000e+00,-2.045766450464725494e-06,1.124436773860555710e-09,nan,7.466055750846862793e-01,9.331911631265290552e+00,4.984193622250629119e+01,4.984193622250629119e+01,nan,2.492096811125314559e+00,1.124436773860555710e-09,7.600000000000000000e+01
5.504446457953507779e+05,1.344368147220545495e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.140574260306251292e-09,nan,7.466055750846862793e-01,9.331911631265288776e+00,4.984193622248051270e+01,4.984193622248051270e+01,nan,2.492096811124025812e+00,1.140574260306251292e-09,7.700000000000000000e+01
5.504446457953506615e+05,1.344368147224210652e+01,5.504480067157187732e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.199495603828146470e-09,nan,7.466055750846862793e-01,9.331911631265286999e+00,4.984193622245863509e+01,4.984193622245863509e+01,nan,2.492096811122931577e+00,1.199495603828146470e-09,7.800000000000000000e+01
5.504446457953505451e+05,1.344368147227320343e+01,5.504480067157186568e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.296820332130868643e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622244006860e+01,4.984193622244006860e+01,nan,2.492096811122003430e+00,1.296820332130868643e-09,7.900000000000000000e+01
5.504446457953504287e+05,1.344368147229963384e+01,5.504480067157185404e+05,2.000000000000000000e+00,-1.164153218269348145e-10,1.428807154397963468e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622242429456e+01,4.984193622242429456e+01,nan,2.492096811121214728e+00,1.428807154397963468e-09,8.000000000000000000e+01
5.504446457953504287e+05,1.344368147232205324e+01,5.504480067157185404e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.593220373946685083e-09,nan,7.466055750846862793e-01,9.331911631265283447e+00,4.984193622241090793e+01,4.984193622241090793e+01,nan,2.492096811120545485e+00,1.593220373946685083e-09,8.100000000000000000e+01
5.504446457973965444e+05,1.344368147210031950e+01,5.504480067177645396e+05,2.000000000000000000e+00,2.045999281108379364e-06,7.947986456806843699e-09,nan,7.466055750846862793e-01,9.331911631096337700e+00,4.984193622254327494e+01,4.984193622254327494e+01,nan,2.492096811127163747e+00,7.947986456806843699e-09,8.200000000000000000e+01
5.504446457953507779e+05,1.344368147215284459e+01,5.504480067157187732e+05,2.000000000000000000e+00,-2.045766450464725494e-06,1.117730419062183604e-09,nan,7.466055750846862793e-01,9.331911631265290552e+00,4.984193622251191869e+01,4.984193622251191869e+01,nan,2.492096811125596112e+00,1.117730419062183604e-09,8.300000000000000000e+01
