run_id,gamma,k_attr,k_rep,n,eig_index,lambda_real,lambda_imag,min_spacing,lambda_max_real
1,0.001,0.00025,0.25,8,0,-6.260666067143985,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,1,-6.247966782954933,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,2,1.0795618088279042,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,3,1.0923784497296682,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,4,-0.00015557634383652253,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,5,-0.00015953372615565091,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,6,-3.7929298015458057,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,7,-3.790931379544019,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,8,-1.7396084861092067,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,9,-1.8157857376295976,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,10,-1.7761635177721358,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,11,-1.7816770283792822,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,12,-2.7068802228163347,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,13,-2.7692483088952207,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,14,-2.7355509460801133,0.0,34.81294363717226,1.0923784497296682
1,0.001,0.00025,0.25,8,15,-2.7432919068878205,0.0,34.81294363717226,1.0923784497296682
2,0.0011497569953977356,0.0002874392488494339,0.25,8,0,-6.260810071958694,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,1,-6.248290404516954,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,2,1.0795221101791634,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,3,1.0921670140380217,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,4,-0.0001788076474624781,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,5,-0.00018342579345329008,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,6,-3.7929257406980796,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,7,-3.7909278959555452,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,8,-1.7396146116267868,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,9,-1.8157707949668656,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,10,-1.7760986048967864,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,11,-1.7816655037585454,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,12,-2.7070638305136963,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,13,-2.769501624336812,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,14,-2.7359094021147183,0.0,34.81158503523746,1.0921670140380217
2,0.0011497569953977356,0.0002874392488494339,0.25,8,15,-2.743505075121646,0.0,34.81158503523746,1.0921670140380217
3,0.0013219411484660286,0.00033048528711650716,0.25,8,0,-6.260973119467352,0.0,34.810955554600504,1.0919127620156088
3,0.0013219411484660286,0.00033048528711650716,0.25,8,1,-6.2486701506251645,0.0,34.810955554600504,1.0919127620156088
3,0.0013219411484660286,0.00033048528711650716,0.25,8,2,1.079478646599959,0.0,34.810955554600504,1.0919127620156088
3,0.0013219411484660286,0.00033048528711650716,0.25,8,3,1.0919127620156088,0.0,34.810955554600504,1.0919127620156088
