step,N,grid_size,k_attr,k_rep,sigma_rep,amp_rep,eta,min_spacing,mean_spacing,max_spacing,mean_force_norm,max_force_norm,mean_potential,var_potential,mean_need,max_need,lambda_max_real,lambda_min_real,spectral_radius_I_plus_etaJ,continuous_stable,discrete_stable,num_eig_pos_real
0,8,100.0,25.0,1.0,20.0,300.0,0.02,8.718732724683878,38.76109263319967,67.58027288243345,926.5823801336403,1459.7248729284297,10.604225672747448,179.20599408499606,0.35606070883734253,1.0,44.4686016556023,-158.45486788584117,2.1690973577168235,False,False,3
1,8,100.0,25.0,1.0,20.0,300.0,0.02,20.380996544129523,42.81865768337229,58.90990540084459,662.5663971839372,1224.989633634927,8.533192949243883,145.15784946158587,0.28988947065999987,0.9999895691871643,8.54597277360145,-131.3648352469576,1.6290020418261044,False,False,1
2,8,100.0,25.0,1.0,20.0,300.0,0.02,23.618226303001553,43.08529091782993,58.70541070001841,275.55824302586166,401.49112130087616,5.0270862489260075,93.07803612038225,0.17447112489919417,0.9999694228172302,6.225812634705535,-125.65796083992613,1.5131592167985226,False,False,1
3,8,100.0,25.0,1.0,20.0,300.0,0.02,23.734039598481065,43.51556866455149,61.62928811950787,269.16234862761144,389.12980558998436,5.013456436084409,93.92994071689031,0.1740930874362663,0.9999739527702332,7.000814703136522,-151.00426169332144,2.020085233866429,False,False,1
4,8,100.0,25.0,1.0,20.0,300.0,0.02,24.613329542312538,43.27092494502932,63.78971805068885,285.72562624034913,342.83087381425014,5.1068300857509294,94.53296797632636,0.17753585751151998,0.999941885471344,3.6355765906104147,-155.67174028374484,2.113434805674897,False,False,2
5,8,100.0,25.0,1.0,20.0,300.0,0.02,25.607541567921302,43.07231490335261,64.55704490009401,307.7477920214361,459.29069663044106,5.285037858798154,97.35150687290549,0.1835691682020114,0.9999818801879883,8.536144123230454,-149.63026540815616,1.9926053081631232,False,False,2
6,8,100.0,25.0,1.0,20.0,300.0,0.02,19.76685925018069,41.395720503140794,65.31800771813934,454.0106957110478,656.0065926478622,5.132820271032542,95.48125515041309,0.17763713124209163,0.9999874234199524,7.321885844647716,-144.54121443948335,1.8908242887896671,False,False,1
7,8,100.0,25.0,1.0,20.0,300.0,0.02,13.632289596390912,39.261845357302306,54.83325990241065,768.6176160580053,955.862755405357,6.223105789528196,115.68321132457007,0.2128301415766192,0.999994158744812,26.161530751921422,-122.41729741368081,1.5232306150384285,False,False,3
8,8,100.0,25.0,1.0,20.0,300.0,0.02,6.047648081202774,40.85558674625503,50.54854446114739,842.7929527506965,1287.454852097016,7.261940513590948,135.10171668870538,0.2446849467239962,0.9999986290931702,80.54844721436291,-165.9914961888663,2.610968944287258,False,False,2
9,8,100.0,25.0,1.0,20.0,300.0,0.02,19.048311523843843,42.32558242060525,61.84488600087411,272.3027812582743,422.8068882276565,5.795502477016796,90.2742356978523,0.20088677281975773,0.999399721622467,4.21582690047841,-174.0964585414286,2.4819959133243144,False,False,1
10,8,100.0,25.0,1.0,20.0,300.0,0.02,23.416733562854795,42.751599437712905,66.97884093320192,203.61376460671312,318.73312653564005,4.203007148968256,66.08519761832525,0.1462187525845798,0.9986305832862854,2.0374745003481745,-171.7300840049195,2.43460168009839,False,False,1
