gamma,k_attr,k_rep,lambda_max_real,lambda_min_real,spectral_radius,continuous_stable,discrete_stable,num_eig_pos_real,min_spacing,mean_spacing,max_spacing,N
0.001,0.00025,0.25,0.05383261959509177,-6.303321888010235,1.001076652391902,0,0,1,35.35244971223792,42.801438680909904,70.70787400633755,8
0.0011497569953977356,0.0002874392488494339,0.25,0.05380056499695975,-6.303530470165357,1.0010760112999393,0,0,1,35.352449531996555,42.80143257469425,70.70787369181052,8
0.0013219411484660286,0.00033048528711650716,0.25,0.05376369939257093,-6.303770357937442,1.0010752739878515,0,0,1,35.352451891754974,42.80142575534739,70.70787756959885,8
0.0015199110829529332,0.0003799777707382333,0.25,0.0537212870768284,-6.304046486364002,1.0010744257415365,0,0,1,35.35245165355746,42.80141769371935,70.70787715392008,8
0.001747528400007683,0.00043688210000192073,0.25,0.05367248035864204,-6.304364324651329,1.001073449607173,0,0,1,35.3524513794894,42.80140846473108,70.70787667574695,8
0.002009233002565048,0.000502308250641262,0.25,0.05361616727289591,-6.3047301798392255,1.001072323345458,0,0,1,35.352452505758016,42.80139779194531,70.7078785127642,8
0.0023101297000831605,0.0005775324250207901,0.25,0.053551578030822014,-6.305151331873135,1.0010710315606164,0,0,1,35.35245214515847,42.801385559774076,70.7078778837416,8
0.0026560877829466868,0.0006640219457366717,0.25,0.053477373384260736,-6.305635621029451,1.0010695474676852,0,0,1,35.35245173065555,42.801371513545405,70.70787716093808,8
0.0030538555088334154,0.0007634638772083538,0.25,0.05339188547865992,-6.306192274429902,1.0010678377095732,0,0,1,35.35245125430038,42.801355381673964,70.70787633053382,8
0.003511191734215131,0.0008777979335537827,0.25,0.0532938166068124,-6.306831143191715,1.0010658763321363,0,0,1,35.35245070655309,42.80133685199069,70.70787537606813,8
0.004037017258596553,0.0010092543146491384,0.25,0.05318099102346719,-6.307566159548926,1.0010636198204694,0,0,1,35.35245478167851,42.80131632483144,70.70788207661016,8
0.004641588833612782,0.0011603972084031956,0.25,0.05305148636706659,-6.308413090182393,1.0010610297273412,0,0,1,35.35245405816559,42.801291948630954,70.7078808157661,8
0.005336699231206312,0.001334174807801578,0.25,0.052902365341484264,-6.309387005484964,1.0010580473068298,0,0,1,35.352454470481185,42.80126404369407,70.70788141473197,8
0.006135907273413176,0.001533976818353294,0.25,0.05273059388289489,-6.310504024332413,1.001054611877658,0,0,1,35.352453515029126,42.80123131710224,70.70787975185026,8
0.007054802310718645,0.0017637005776796613,0.25,0.05253419345945763,-6.311788434230485,1.001050683869189,0,0,1,35.352456460567375,42.80119479348281,70.70788507689464,8
0.008111308307896872,0.002027827076974218,0.25,0.05230856716838983,-6.313265435744485,1.0010461713433678,0,0,1,35.352455236435944,42.8011527445368,70.70788293936616,8
0.0093260334688322,0.00233150836720805,0.25,0.052049453953115755,-6.314964078667136,1.0010409890790624,0,0,1,35.352455809283164,42.801107210803956,70.70794478028283,8
0.010722672220103232,0.002680668055025808,0.25,0.05175175585459442,-6.316917932471769,1.0010350351170918,0,0,1,35.353910921327376,42.801051552141466,70.70787163012162,8
0.012328467394420659,0.0030821168486051646,0.25,0.051409570394240496,-6.319165658430647,1.001028191407885,0,0,1,35.35391656357316,42.8009880367854,70.70786550707109,8
0.014174741629268055,0.003543685407317014,0.25,0.05101703453439411,-6.3217493347395255,1.001020340690688,0,0,1,35.35519146311375,42.80090542640597,70.7079009661104,8
0.016297508346206444,0.004074377086551611,0.25,0.05056552609163067,-6.324727092204574,1.0010113105218326,0,0,1,35.353781689487356,42.80082220556168,70.70778722657533,8
0.01873817422860384,0.00468454355715096,0.25,0.05004867737433641,-6.328143610487917,1.0010009735474867,0,0,1,35.35378078285554,42.80072633625597,70.707760733821,8
0.021544346900318846,0.0053860867250797115,0.25,0.04945673602488338,-6.3320729288660385,1.0009891347204978,0,0,1,35.35377955540241,42.80061799219431,70.70774239461709,8
0.024770763559917114,0.0061926908899792785,0.25,0.04877255730477174,-6.336619080792217,1.0009754511460955,0,0,1,35.35236013927298,42.80049549685142,70.70772930697886,8
0.02848035868435802,0.007120089671089505,0.25,0.04797691228186974,-6.341901977536376,1.0009595382456373,0,0,1,35.352336243748375,42.800351706227396,70.70772086264792,8
0.03274549162877728,0.00818637290719432,0.25,0.053260667147646316,-6.349209830930035,1.001065213342953,0,0,1,35.35377955579634,42.80519645889751,70.7076735511709,8
0.037649358067924674,0.009412339516981168,0.25,0.05214779316807271,-6.355941986723044,1.0010429558633616,0,0,1,35.35379155304659,42.804940233988496,70.7077216933506,8
0.04328761281083059,0.010821903202707648,0.25,0.05086378836963758,-6.3637202250404785,1.0010172757673927,0,0,1,35.353749793944104,42.80466553075619,70.70791666944652,8
0.049770235643321115,0.012442558910830279,0.25,0.049405106220777706,-6.372696415313981,1.0009881021244156,0,0,1,35.3538342851104,42.80435135820819,70.7079201963981,8
0.05722367659350217,0.014305919148375543,0.25,0.047739667340386614,-6.382961198790043,1.0009547933468077,0,0,1,35.3552021016295,42.80395842185772,70.70788035592918,8
0.06579332246575682,0.016448330616439206,0.25,0.046253182161560005,-6.394905578257483,1.0009250636432312,0,0,1,35.355252743554374,42.80388044725932,70.70779774257885,8
0.07564633275546291,0.018911583188865728,0.25,0.04408546062033302,-6.408490404612166,1.0008817092124067,0,0,1,35.355278402918444,42.80340831804235,70.70775684506103,8
0.08697490026177834,0.021743725065444586,0.25,0.04271664489179097,-6.424474571647103,1.0008543328978359,0,0,1,35.35375279406664,42.803811737250506,70.70778740270111,8
0.1,0.025,0.25,0.03984986897820322,-6.44244072981225,1.000796997379564,0,0,1,35.35378124947725,42.80318585965407,70.70773514648525,8
0.11497569953977356,0.02874392488494339,0.25,0.036577207085373806,-6.463421082080245,1.0007315441417075,0,0,1,35.352351687478695,42.80251999534901,70.70771077430904,8
0.13219411484660287,0.03304852871165072,0.25,0.03280737144794294,-6.488052642565393,1.0006561474289588,0,0,1,35.35381753473225,42.80181187572246,70.70779726477464,8
0.1519911082952933,0.037997777073823326,0.25,0.028461223431460635,-6.51696575049271,1.0005692244686293,0,0,1,35.35235781263636,42.801031777294774,70.70773152999145,8
0.1747528400007685,0.04368821000019212,0.25,0.02358731648300075,-6.54980082740774,1.00047174632966,0,0,1,35.352373681117186,42.80019859077764,70.7077205381486,8
0.2009233002565048,0.0502308250641262,0.25,0.018099169238800172,-6.5876900369106774,1.000361983384776,0,0,1,35.35380610486919,42.79933869685949,70.70772688809728,8
0.23101297000831603,0.05775324250207901,0.25,0.01193395719683431,-6.6311773794245985,1.0002386791439366,0,0,1,35.35377318890373,42.798411844680246,70.70772069670316,8
0.26560877829466867,0.06640219457366717,0.25,0.004844255233952118,-6.681268464272605,1.000096885104679,0,0,1,35.35379081273463,42.7973802954116,70.7077064691929,8
0.30538555088334157,0.07634638772083539,0.25,-0.0022268054474388456,-6.736108964089105,0.9999554638910513,1,1,0,35.35380785704529,42.79644231331169,70.70773193680157,8
0.3511191734215131,0.08777979335537828,0.25,-0.0067364831002987196,-6.782720091169557,0.999865270337994,1,1,0,35.35377762418927,42.795516796492564,70.70779439898381,8
0.40370172585965536,0.10092543146491384,0.25,-0.01126731185402857,-6.834023838064599,0.9997746537629194,1,1,0,35.35237051886286,42.793253464516816,70.70775867903285,8
0.4641588833612782,0.11603972084031955,0.25,-0.012884494140075704,-6.908310043437279,0.9997423101171985,1,1,0,35.3523499293028,42.792402960200725,70.70771853398033,8
0.5336699231206312,0.1334174807801578,0.25,-0.01481600864135268,-6.992229823191272,0.9997036798271729,1,1,0,35.352337438974956,42.79176279844204,70.70773827731075,8
0.6135907273413176,0.1533976818353294,0.25,-0.01703070366216755,-7.091679230074129,0.9996593859267566,1,1,0,35.35246620221373,42.791301412798184,70.70787717574643,8
0.7054802310718645,0.17637005776796613,0.25,-0.019988097617339697,-7.213140478802968,0.9996002380476532,1,1,0,35.35393555853191,42.790923636008294,70.70787912234775,8
0.8111308307896873,0.20278270769742182,0.25,-0.023110955237483997,-7.360318989559268,0.9995377808952504,1,1,0,35.35382525409908,42.791336218626576,70.7078085650503,8
0.9326033468832199,0.23315083672080497,0.25,-0.026513129416622556,-7.512129713861917,0.9994697374116676,1,1,0,35.352355700070525,42.79084104028254,70.7077070612497,8
1.072267222010323,0.2680668055025808,0.25,-0.03052017792548726,-7.692918513213742,0.9993895964414903,1,1,0,35.35379661384469,42.790426860240025,70.7077300040489,8
1.232846739442066,0.3082116848605165,0.25,-0.03493759185901425,-7.891431986118987,0.9993012481628197,1,1,0,35.35383714436829,42.7903328865046,70.70777292863505,8
1.4174741629268048,0.3543685407317012,0.25,-0.040323593224437404,-8.139385774740106,0.9991935281355112,1,1,0,35.35382258140549,42.79036486983981,70.7076964111302,8
1.629750834620645,0.40743770865516127,0.25,-0.04636885865421618,-8.415513484037623,0.9990726228269157,1,1,0,35.35231718756448,42.790455640230746,70.70770531354539,8
1.873817422860385,0.46845435571509625,0.25,-0.053219095328993216,-8.731175403417678,0.9989356180934201,1,1,0,35.35527640117288,42.79062563831589,70.70768415612915,8
2.1544346900318843,0.5386086725079711,0.25,-0.061005035611301356,-9.084882726133273,0.998779899287774,1,1,0,35.353866794378874,42.7906932878261,70.70775957715925,8
2.4770763559917115,0.6192690889979279,0.25,-0.0702659867555236,-9.510447619575325,0.9985946802648895,1,1,0,35.35377124919082,42.79059974722602,70.70767262985724,8
2.848035868435802,0.7120089671089505,0.25,-0.08065648955651371,-9.976042000523547,0.9983868702088697,1,1,0,35.35378006543068,42.790574971831255,70.70772661316408,8
3.2745491628777286,0.8186372907194321,0.25,-0.09339001031245511,-10.569288595758891,0.9981321997937509,1,1,0,35.342442178734714,42.79045288324454,70.70767563947608,8
3.7649358067924674,0.9412339516981169,0.25,-0.10659130193412979,-11.161922637729754,0.9978681739613174,1,1,0,35.35232351770308,42.790346978788996,70.7076768470302,8
4.328761281083062,1.0821903202707654,0.25,-0.12314001283250652,-11.927838581544115,0.9975371997433499,1,1,0,35.35382261091284,42.790336300503235,70.70775450758522,8
4.9770235643321135,1.2442558910830284,0.25,-0.1415582104283375,-12.769889845563085,0.9971688357914332,1,1,0,35.35229345077574,42.79031502600923,70.70772573724172,8
5.72236765935022,1.430591914837555,0.25,-0.16260503530762263,-13.731148584119982,0.9967478992938476,1,1,0,35.353813790620464,42.79032508993013,70.70774098326001,8
6.5793322465756825,1.6448330616439206,0.25,-0.18668412655969857,-14.826313443542162,0.996266317468806,1,1,0,35.35369221038492,42.790306949542135,70.70766189824027,8
7.56463327554629,1.8911583188865726,0.25,-0.21075232712231082,-16.039150209085406,0.9957849534575538,1,1,0,35.33638893611518,42.79035121078996,70.70761509611052,8
8.697490026177835,2.174372506544459,0.25,-0.24464271753712158,-17.545160049213802,0.9951071456492576,1,1,0,35.33301729861242,42.790388325622,70.70775051740695,8
10.0,2.5,0.25,-0.2796904942918646,-19.166907106710077,0.9944061901141628,1,1,0,35.33102316445545,42.79035030396293,70.70740303713299,8
11.497569953977356,2.874392488494339,0.25,-0.31396048814393646,-20.951458325209387,0.9937207902371212,1,1,0,35.35221758227281,42.790442506984554,70.70774708714184,8
13.219411484660288,3.304852871165072,0.25,-0.36104107378657946,-23.229001826151134,0.9927791785242684,1,1,0,35.352199000921395,42.79043845694226,70.70776250219757,8
15.199110829529332,3.799777707382333,0.25,-0.41540627262962543,-25.82572907316146,0.9916918745474075,1,1,0,35.354006760201706,42.790452528784165,70.70801675884528,8
17.47528400007683,4.368821000019207,0.25,-0.4770562077148684,-28.868933119888567,0.9904588758457026,1,1,0,35.352220104528776,42.79063799899784,70.70747543006192,8
20.09233002565046,5.023082506412615,0.25,-0.569168022554558,-32.419162409327,0.9886166395489089,1,1,0,35.32125019129153,42.79040902982259,70.70776071968034,8
23.10129700083158,5.775324250207895,0.25,-0.6543440613010264,-36.384262676429564,0.9869131187739795,1,1,0,35.318898146919246,42.79042329539318,70.70777537728193,8
26.560877829466893,6.640219457366723,0.25,-0.7526388580481176,-40.9601408608215,0.9849472228390377,1,1,0,35.31530167033724,42.790382172283095,70.70733228702208,8
30.538555088334185,7.634638772083546,0.25,-0.8531639254236608,-46.08766617344645,0.9829367214915268,1,1,0,35.31561213161014,42.7905146488791,70.70675062634946,8
35.111917342151344,8.777979335537836,0.25,-0.925729143464142,-53.37469334452096,0.9814854171307171,1,1,0,35.35793847483313,42.79241488254835,70.70605509223348,8
40.37017258596558,10.092543146491394,0.25,-1.0489864215465217,-61.25631720036568,0.9790202715690696,1,1,0,35.356823986823656,42.79277246598149,70.70637947677311,8
46.41588833612782,11.603972084031955,0.25,-1.1910567723155614,-70.9728522289244,0.9761788645536887,1,1,0,35.358795750702235,42.79295963661331,70.70506074748248,8
53.366992312063125,13.341748078015781,0.25,-1.5630197810965976,-238.93078845622767,3.7786157691245537,1,0,0,28.10559813147918,43.48476979275518,70.6400091045861,8
61.35907273413176,15.33976818353294,0.25,-1.7332675858845377,-90.19709863181998,0.9653346482823093,1,1,0,26.58345129318624,43.670189213643155,70.6862094163035,8
70.54802310718645,17.637005776796613,0.25,-1.8502032523761653,-104.22163608621617,1.0869164901418285,1,0,0,25.470372258568926,43.57432109283187,69.06556292233151,8
81.11308307896873,20.278270769742182,0.25,-2.445904158211881,-112.68525148186987,1.2537050296373975,1,0,0,32.96869556223997,42.91494901014304,70.63974419309368,8
93.26033468832199,23.315083672080497,0.25,-1.3020564832221018,-137.16936949323295,1.743387389864659,1,0,0,33.56612777197896,42.522801935097434,69.9965544890018,8
107.22672220103232,26.80668055025808,0.25,12.99632832037129,-157.33471946401633,2.1489318951620455,0,0,3,20.65205529671022,40.54419576567894,65.36956872624889,8
123.28467394420659,30.821168486051647,0.25,8.616278918743959,-163.8733462843142,2.277466925686284,0,0,3,22.929174450203313,40.71689001992187,64.43780328075003,8
