step,N,grid_size,k_attr,k_rep,sigma_rep,amp_rep,eta,min_spacing,mean_spacing,max_spacing,mean_force_norm,max_force_norm,mean_potential,var_potential,mean_need,max_need,lambda_max_real,lambda_min_real,spectral_radius_I_plus_etaJ,continuous_stable,discrete_stable,num_eig_pos_real
0,8,100.0,10.0,0.25,20.0,300.0,0.02,19.231540190544884,41.06292765707604,58.654977824868425,345.3183811729226,540.458288467026,10.604225672747448,179.20599408499606,0.35606070883734253,1.0,11.414832832796948,-57.129270622945356,1.228296656655939,False,False,4
1,8,100.0,10.0,0.25,20.0,300.0,0.02,17.237307515491217,42.30795775909854,62.399330487819554,190.546016860482,377.82797070749604,6.925178988372255,128.23489616535664,0.23655451178643822,0.9999950528144836,7.278758001759591,-65.07056540443129,1.1455751600351918,False,False,3
2,8,100.0,10.0,0.25,20.0,300.0,0.02,17.645121754925945,42.626415948335804,60.91529960749077,102.20230841813455,162.32950046321022,5.630766611559962,99.92509705095756,0.19484192051274413,0.9999479055404663,5.664226330335945,-61.202231182175,1.1132845266067188,False,False,2
3,8,100.0,10.0,0.25,20.0,300.0,0.02,18.878690974095232,42.900954358142734,60.442414085894455,58.493805330390224,116.3168370058798,5.045444486935679,90.14060144143797,0.17525828265869123,0.9999480843544006,4.361505652129299,-53.13262782728009,1.0872301130425859,False,False,2
4,8,100.0,10.0,0.25,20.0,300.0,0.02,20.26262838380197,43.016913338718034,60.81153044478699,39.141163714290755,81.84956738061514,4.828183874623522,87.57708315560464,0.16801496012745556,0.9999048709869385,3.266342373647206,-52.36852690896715,1.065326847472944,False,False,2
5,8,100.0,10.0,0.25,20.0,300.0,0.02,21.548352905870956,43.1012008059205,61.22279259635208,33.45836274904093,68.93548870237568,4.747594471558957,86.54821675365815,0.16534138439479718,0.999818742275238,2.266676869301579,-52.42133968065599,1.0453335373860315,False,False,2
6,8,100.0,10.0,0.25,20.0,300.0,0.02,22.65623753975117,43.133857543468665,61.60786333793247,28.067924066168565,53.323131899591004,4.678013341833895,85.70245779471014,0.16300730367150398,0.9997773766517639,1.6051943160303053,-53.21354309113548,1.032103886320606,False,False,2
7,8,100.0,10.0,0.25,20.0,300.0,0.02,23.640703807458387,43.171393622635826,61.83621974337935,25.088972319826325,42.435980908561845,4.6273384427047635,84.97229946381621,0.16130295935088676,0.9997720122337341,1.2875200818246582,-53.87236342826796,1.0257504016364931,False,False,1
8,8,100.0,10.0,0.25,20.0,300.0,0.02,24.514107154164485,43.21556341795344,62.10327016748178,21.392547416134406,34.80678105790228,4.591283457671166,84.44427143146208,0.16008887212723977,0.9997649192810059,1.0355650618028145,-55.09337381239358,1.0207113012360562,False,False,1
9,8,100.0,10.0,0.25,20.0,300.0,0.02,24.929670262537808,43.247846842754996,62.333826746100286,18.182439401662997,28.779694840505925,4.568639423298934,84.08393176597488,0.15933093173923818,0.9997429847717285,0.9210115592272246,-55.67326593699747,1.0184202311845445,False,False,1
10,8,100.0,10.0,0.25,20.0,300.0,0.02,25.173653334544504,43.261194985620804,62.58151484138465,15.628867381130231,23.44271101291657,4.552968718300774,83.79740724785643,0.1588068791691177,0.9997401833534241,0.8581515230572602,-56.044633050698906,1.0171630304611452,False,False,1
11,8,100.0,10.0,0.25,20.0,300.0,0.02,25.33370999120698,43.262110593328764,62.87157951378271,14.048627910753419,21.816321115894194,4.54150609740849,83.54349865654041,0.15842450264392113,0.999721348285675,0.7598326447664736,-56.716763188344885,1.0151966528953296,False,False,1
12,8,100.0,10.0,0.25,20.0,300.0,0.02,25.496629879773973,43.26121180880255,63.0051887343435,13.711735644601928,18.154823456902047,4.5267248014365995,83.2013220232899,0.15792332840575446,0.9996925592422485,0.6823981410176443,-57.80440395649211,1.013647962820353,False,False,1
13,8,100.0,10.0,0.25,20.0,300.0,0.02,25.640095033529622,43.25580598051035,63.16013979551385,13.016377092018537,16.830491301177933,4.508137007556045,82.76760551695098,0.1572879374898048,0.9996789693832397,0.6363335208803911,-58.14823078393931,1.0127266704176079,False,False,1
14,8,100.0,10.0,0.25,20.0,300.0,0.02,25.703455302581485,43.246876336603854,63.258351109215674,11.59373262424581,18.062222331626828,4.488492884800326,82.30490508934881,0.15661535958511713,0.9996626377105713,0.6453475550822277,-58.37989557723427,1.0129069511016446,False,False,1
15,8,100.0,10.0,0.25,20.0,300.0,0.02,25.759546167626837,43.236158004736474,63.413566885224824,10.689777421531584,16.749836134273366,4.4671700007069335,81.76768379901938,0.15588181783073604,0.9996286034584045,0.655917274501293,-58.78666742849077,1.0131183454900259,False,False,1
16,8,100.0,10.0,0.25,20.0,300.0,0.02,25.82539976054914,43.23379671195557,63.60997668016546,10.883606074805371,14.620757150123257,4.443931381121593,81.17729641696432,0.155080335137377,0.9996111989021301,0.5346024650450439,-59.272350328192466,1.0106920493009008,False,False,1
17,8,100.0,10.0,0.25,20.0,300.0,0.02,25.881448638448795,43.23032675098214,63.79849674529003,10.748364712638812,15.471222149427268,4.420461145819358,80.59729692001858,0.1542712393230697,0.9995934367179871,0.47291439809858626,-59.893895478804865,1.0094582879619718,False,False,1
18,8,100.0,10.0,0.25,20.0,300.0,0.02,25.890275884688123,43.22511600183606,63.97868469550728,11.074210824266926,14.873905431725051,4.3927686513290585,79.91988410454482,0.1533157414978506,0.9995561242103577,0.29007098224970645,-60.270138685443754,1.005801419644994,False,False,1
