step,N,grid_size,k_attr,k_rep,sigma_rep,amp_rep,eta,min_spacing,mean_spacing,max_spacing,mean_force_norm,max_force_norm,mean_potential,var_potential,mean_need,max_need,lambda_max_real,lambda_min_real,spectral_radius_I_plus_etaJ,continuous_stable,discrete_stable,num_eig_pos_real
0,9,100.0,10.0,0.25,20.0,300.0,0.02,6.280818787877454,39.978633847155464,58.6051315422188,325.31989443319367,537.994578372004,11.648787330030434,225.18536921974692,0.3475519085251167,1.0,22.30392422811609,-53.94281734885971,1.4460784845623218,False,False,5
1,9,100.0,10.0,0.25,20.0,300.0,0.02,9.628461197723182,41.08917232589871,60.9946647065372,197.7382236343032,364.95067213089294,7.252950528569352,154.10776345925336,0.22024300484171058,0.9999950528144836,8.654684200629807,-59.301768295691936,1.173093684012596,False,False,4
2,9,100.0,10.0,0.25,20.0,300.0,0.02,13.817189911726002,41.63718867879675,61.868227458902645,112.70095929665648,225.53920911456655,5.3904898308282005,110.78890514854288,0.16535369211803394,0.9998992681503296,4.939855676511096,-53.547754715532086,1.098797113530222,False,False,3
3,9,100.0,10.0,0.25,20.0,300.0,0.02,18.042663789873597,41.93085927114083,63.43428895361867,72.52396085951888,200.72613254314763,4.5418738764877835,93.66670822279201,0.1399348221069987,0.9998112320899963,3.9560449477633526,-54.539057127966615,1.079120898955267,False,False,3
4,9,100.0,10.0,0.25,20.0,300.0,0.02,19.238178804187193,42.076357109259305,64.24698560105514,54.52097184031514,157.04654553465843,4.046890779019896,83.0782607585723,0.12502408729277886,0.9995880722999573,3.4952003390528925,-55.78448914816197,1.069904006781058,False,False,3
5,9,100.0,10.0,0.25,20.0,300.0,0.02,20.114971859451398,42.162428195203944,64.76264473979394,41.10670702807197,116.56965011069686,3.7215656380182978,75.54585577306935,0.11517674614251708,0.9991918802261353,3.1862788950191034,-56.20898707917632,1.063725577900382,False,False,3
6,9,100.0,10.0,0.25,20.0,300.0,0.02,20.846024529337367,42.226284936653165,65.22893804190628,31.74264102859483,79.95512683066171,3.510340196654688,69.96016891869004,0.10875873057227331,0.9987547993659973,3.012732392729954,-56.02908659159031,1.060254647854599,False,False,2
7,9,100.0,10.0,0.25,20.0,300.0,0.02,21.48616194650437,42.21121775738984,65.48772470163648,24.98608994440628,53.67826177256525,3.3481641980031376,65.91731950708758,0.10379976056248247,0.9983752369880676,2.8497724984635298,-53.78736248908967,1.0569954499692706,False,False,2
8,9,100.0,10.0,0.25,20.0,300.0,0.02,22.108492368278608,42.18116985430609,65.35746652783403,19.934394030470976,34.17552431487665,3.226587838749232,62.83075952268855,0.10005707764164941,0.9981972575187683,2.6551325087881392,-53.211777702212544,1.0531026501757628,False,False,2
9,9,100.0,10.0,0.25,20.0,300.0,0.02,22.70606260094721,42.16010553680695,65.34965113852344,17.546541415639222,24.775950418116906,3.1084461882066465,59.99351731938141,0.09640444867300954,0.9979801774024963,2.5132655284634184,-51.945398227165754,1.0502653105692683,False,False,2
10,9,100.0,10.0,0.25,20.0,300.0,0.02,23.03415615012854,42.14508741271511,65.42142322529828,15.835127799783812,26.838665921973714,3.001834034336583,57.38084790529492,0.09310234654727495,0.9976354241371155,2.3131322389000855,-51.317933992878665,1.0462626447780017,False,False,2
11,9,100.0,10.0,0.25,20.0,300.0,0.02,23.13621402649274,42.1364142124295,65.54775564407682,14.658094080987095,25.024046460556452,2.893639180909338,54.77785786000027,0.08974721320119292,0.9972336292266846,2.086916092880287,-50.949767141832275,1.0417383218576057,False,False,2
12,9,100.0,10.0,0.25,20.0,300.0,0.02,23.253499616995846,42.12972293045175,65.66453925715889,14.228226471531615,25.58867434733829,2.7817165563253297,52.1659528345932,0.08627625293280156,0.9966936707496643,1.9832769852170504,-50.095891307588346,1.039665539704341,False,False,2
13,9,100.0,10.0,0.25,20.0,300.0,0.02,23.353284112807184,42.12426128980566,65.77110209676033,14.055310732238132,23.54894232079409,2.6706279126522734,49.597249541341654,0.08283092548878668,0.9963603019714355,1.847999950852881,-49.766672539271525,1.0369599990170577,False,False,2
14,9,100.0,10.0,0.25,20.0,300.0,0.02,23.489767693902298,42.12259748781781,65.90327972561093,13.911111436994961,23.756996110158422,2.561587516267614,47.10828467392281,0.07944835457371753,0.9958906769752502,1.6383628699494783,-50.38622676198725,1.0327672573989897,False,False,2
15,9,100.0,10.0,0.25,20.0,300.0,0.02,23.639663248384732,42.11947071992054,66.01069487489998,13.203472599851365,21.862717276473994,2.4525528098844296,44.70561158061654,0.07606765612910335,0.9952538013458252,1.4665771290282275,-49.87178156101161,1.0293315425805645,False,False,2
16,9,100.0,10.0,0.25,20.0,300.0,0.02,23.826695284711594,42.10329125170949,66.09794380150765,12.613348113078157,21.39650519292371,2.349622286285206,42.494187025094,0.07287546457220795,0.9944136142730713,1.3836579689724269,-50.17417241642333,1.0276731593794486,False,False,2
17,9,100.0,10.0,0.25,20.0,300.0,0.02,23.98881180045578,42.090422578431046,66.17033166346671,12.086253398238929,19.904726590755793,2.2484335062827356,40.405281633283145,0.06973708410088164,0.9933142066001892,1.2275199720008863,-49.83101690901727,1.0245503994400178,False,False,2
18,9,100.0,10.0,0.25,20.0,300.0,0.02,24.16721886902717,42.08024831922033,66.2720989710645,12.127311017257453,19.17102062144404,2.1534461608759425,38.46211610935644,0.06679165289806277,0.9920843243598938,0.9575348519915854,-49.78688040892264,1.0191506970398316,False,False,2
19,9,100.0,10.0,0.25,20.0,300.0,0.02,24.353805561629297,42.07164708542757,66.3676860792343,11.373671765442678,18.422577377367293,2.0616940135141735,36.61074627945937,0.06394613608455738,0.9906409978866577,0.8364238932788879,-49.0957272477315,1.0167301361680583,False,False,2
