step,N,grid_size,k_attr,k_rep,sigma_rep,amp_rep,eta,min_spacing,mean_spacing,max_spacing,mean_force_norm,max_force_norm,mean_potential,var_potential,mean_need,max_need,lambda_max_real,lambda_min_real,spectral_radius_I_plus_etaJ,continuous_stable,discrete_stable,num_eig_pos_real
0,3,100.0,10.0,0.25,20.0,300.0,0.02,28.288229102489463,38.30872186975691,50.02833808837944,358.55360286047215,416.01303959006657,7.883339471422046,24.235488466717054,0.7033759664012529,1.0,-4.789938106753001,-46.31528794935195,0.90420123786494,True,True,0
1,3,100.0,10.0,0.25,20.0,300.0,0.02,36.574451649987765,43.44374659005202,47.46171710655858,313.76011330367874,361.41113896257207,7.197683518685473,25.625956089383042,0.6462457008863648,1.0,-7.12880442351283,-52.6281301380284,0.8574239115297434,True,True,0
2,3,100.0,10.0,0.25,20.0,300.0,0.02,43.40513156470886,48.81281381151532,55.01463588296696,247.12591582719722,320.1861828922044,6.865105730278282,24.84672896545187,0.6236223796337159,1.0,-12.407342021013227,-60.19408140137473,0.7518531595797355,True,True,0
3,3,100.0,10.0,0.25,20.0,300.0,0.02,46.17409559474876,48.545280644162325,50.39913485829914,119.91075702179425,152.8866445049689,6.766419284505484,23.9487934804776,0.6199082544055803,1.0,-15.202153633312351,-57.50626402595377,0.6959569273337529,True,True,0
4,3,100.0,10.0,0.25,20.0,300.0,0.02,46.68990238509936,48.507466153511764,51.28642969209045,27.187909636776624,45.41757122195379,6.753939112236351,23.792692989626467,0.6199082542480191,1.0,-15.61239607543765,-56.98047693039669,0.687752078491247,True,True,0
5,3,100.0,10.0,0.25,20.0,300.0,0.02,46.91679157959476,48.54927888634675,51.74547217954418,18.571132364452644,23.668153497784896,6.753010713535443,23.782122975941316,0.6199082538357805,1.0,-15.662119015608926,-56.847522617239505,0.6867576196878215,True,True,0
6,3,100.0,10.0,0.25,20.0,300.0,0.02,46.935179402172686,48.58862347193053,51.802989246846636,6.80668779909078,7.961611847163688,6.752788452224279,23.782074486878685,0.6199082540124958,1.0,-15.634445766606122,-56.88234318442977,0.6873110846678776,True,True,0
7,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92709597000301,48.60998248584914,51.86671129218888,3.70763719735711,4.826648748584147,6.752758595880981,23.78328818814631,0.6199082537757846,1.0,-15.625289514534655,-56.890728317657135,0.6874942097093069,True,True,0
8,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92317360202648,48.622814710560114,51.90090964271408,2.2909953411091695,3.006613862116814,6.752743666929865,23.783995525427553,0.6199082540904568,1.0,-15.619254088982993,-56.896286028041,0.6876149182203402,True,True,0
9,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92203768170272,48.63033456251764,51.922031272784885,1.4246099599706572,1.9142107814699312,6.7527370263390285,23.78443134069893,0.6199082541195178,1.0,-15.616104130840075,-56.89922118878757,0.6876779173831985,True,True,0
10,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92201470779853,48.63477227618581,51.93469936326147,0.9080070141760402,1.2295156751416156,6.752733661521168,23.78469180199387,0.619908254128149,1.0,-15.614228780630517,-56.90061952218622,0.6877154243873896,True,True,0
11,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92236559426572,48.63739291107492,51.94238018313746,0.5887039819131529,0.7954692502324572,6.752731906073249,23.784847486405706,0.6199082541830503,1.0,-15.613249397295416,-56.90143594152788,0.6877350120540917,True,True,0
12,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92278841245315,48.63894487125628,51.94704710932217,0.3870790704567178,0.5182545387973438,6.752730953049974,23.784940402222468,0.6199082539787629,1.0,-15.612624861551534,-56.902210264677535,0.6877475027689692,True,True,0
13,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92316751399058,48.63986652060146,51.94989512872685,0.25719237769595676,0.3397699169590554,6.752730427842821,23.784995965959954,0.6199082540263775,1.0,-15.612299387952397,-56.901903457779966,0.687754012240952,True,True,0
14,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92347140681342,48.64041557963784,51.95164002644558,0.17222115704066673,0.22402862262460338,6.752730133435345,23.785029262891516,0.6199082541214939,1.0,-15.612133270573066,-56.90230862376713,0.6877573345885386,True,True,0
15,3,100.0,10.0,0.25,20.0,300.0,0.02,46.92370153020571,48.64074376415291,51.95271341376774,0.11597866738808789,0.14847125174044248,6.752729966246574,23.78504928291576,0.6199082541685471,1.0,-15.612079371574278,-56.90209312690181,0.6877584125685144,True,True,0
