Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,394.369,-62.612,23.5058,-0.553349,-0.472427,0.445435,0.521733
0,1,-230.854,-55.5453,321.903,0.746148,-0.587913,0.193371,-0.245417
0,2,-163.498,118.183,-345.4,0.118886,-0.232629,0.859531,-0.439268
0,0,393.665,-68.4083,18.6636,-0.553592,-0.465689,0.444444,0.528337
0,1,-224.676,-60.3318,325.394,0.755611,-0.579477,0.185839,-0.242326
0,2,-158.062,112.888,-349.675,0.114773,-0.22301,0.860734,-0.442979
1,0,393.112,-72.7272,13.1885,-0.552469,-0.459635,0.444722,0.534544
1,1,-217.883,-65.4099,329.012,0.765924,-0.569758,0.177794,-0.239008
1,2,-151.903,108.75,-353.693,0.109974,-0.213984,0.863289,-0.443676
2,0,393.483,-71.5865,6.83935,-0.547529,-0.456904,0.449157,0.538246
2,1,-209.112,-71.8413,333.333,0.779264,-0.55625,0.167716,-0.234957
2,2,-144.061,103.077,-358.639,0.103963,-0.202221,0.866057,-0.445245
3,0,394.447,-66.4158,0.385291,-0.540177,-0.456827,0.456387,0.539656
3,1,-200.632,-77.868,337.17,0.792106,-0.542245,0.158306,-0.231251
3,2,-136.494,97.6624,-363.086,0.098215,-0.19104,0.868592,-0.446549
4,0,395.395,-60.2476,-5.75784,-0.532464,-0.457477,0.46411,0.540185
4,1,-192.66,-83.3782,340.485,0.804125,-0.528194,0.149743,-0.22797
4,2,-129.267,94.2994,-366.603,0.0925839,-0.18214,0.872638,-0.443573
5,0,396.154,-54.1352,-11.4645,-0.525084,-0.45821,0.471537,0.540355
5,1,-185.227,-88.3669,343.34,0.815249,-0.514338,0.142002,-0.225079
5,2,-122.585,91.4306,-369.613,0.0873916,-0.174204,0.876692,-0.439803
6,0,396.718,-48.3093,-16.759,-0.51815,-0.458881,0.478527,0.540334
6,1,-178.319,-92.8572,345.803,0.825479,-0.500838,0.135012,-0.222526
6,2,-116.499,87.9594,-372.413,0.0827808,-0.166228,0.879574,-0.438025
7,0,397.093,-42.9395,-21.7497,-0.511685,-0.459337,0.485031,0.540307
7,1,-171.886,-96.9458,347.932,0.834926,-0.487662,0.128669,-0.220294
7,2,-110.867,84.8404,-374.848,0.0785285,-0.158977,0.882376,-0.435858
7,3,321.008,165.442,-171.996,-0.277884,-0.455835,0.721993,0.440137
8,0,396.733,-40.2589,-31.3372,-0.503663,-0.45514,0.49231,0.544796
8,1,-157.708,-106.405,351.861,0.856,-0.455072,0.115149,-0.216598
8,2,-98.6964,75.079,-380.292,0.0697133,-0.140623,0.884842,-0.438657
8,3,323.402,155.504,-176.719,-0.281207,-0.447241,0.718782,0.451941
9,0,395.936,-44.164,-35.8325,-0.502828,-0.449859,0.492137,0.550084
9,1,-148.704,-112.754,353.799,0.869354,-0.431825,0.106907,-0.215227
9,2,-91.0446,67.0146,-383.692,0.0644231,-0.127413,0.883268,-0.446602
