Timestep,CoverageScore
0,0.9471
1,0.9475
2,0.9403
3,0.9415
4,0.9403
5,0.9447
6,0.9465
7,0.9433
8,0.9415
9,0.9469
10,0.9537
11,0.9525
12,0.9493
13,0.9485
14,0.9511
15,0.9479
16,0.9417
17,0.9392
18,0.9576
19,0.9702
20,0.9761
21,0.9807
22,0.9803
23,0.9819
24,0.9807
25,0.9809
26,0.9811
27,0.9791
28,0.9771
29,0.9783
30,0.9783
31,0.9797
32,0.9811
33,0.9837
34,0.9835
35,0.9843
36,0.9857
37,0.9859
38,0.9849
39,0.9845
40,0.9853
41,0.9861
42,0.9863
43,0.9869
44,0.9855
45,0.9865
46,0.9881
47,0.9831
48,0.9807
49,0.9787
50,0.9815
51,0.9781
52,0.9781
53,0.9763
54,0.9771
55,0.9767
56,0.9817
57,0.9819
58,0.9835
59,0.9829
60,0.9815
61,0.9849
62,0.9827
63,0.9847
64,0.9831
65,0.9795
66,0.9795
67,0.9803
68,0.9807
69,0.9821
70,0.9825
71,0.9823
72,0.9819
73,0.9843
74,0.9825
75,0.9815
76,0.9847
77,0.9833
78,0.9879
79,0.9911
