iteration,coverage,redundancy,affinity,time
0,0.738811,0.380748,1.577040,0.196024
1,0.791743,0.340895,1.515746,0.636018
2,0.842837,0.311261,1.467750,0.997277
3,0.886368,0.371142,1.518561,1.359149
4,0.799510,0.376047,1.574642,1.716744
5,0.817290,0.417535,1.632408,2.078706
6,0.846720,0.410587,1.605358,2.438448
7,0.870018,0.395054,1.556260,2.797546
8,0.967505,0.607398,1.761301,3.200231
9,0.924791,0.542203,1.763315,3.703858
10,0.903536,0.474555,1.738068,4.211119
11,0.932965,0.488657,1.736035,4.715889
12,0.912732,0.449826,1.685401,5.223787
13,0.914163,0.489066,1.737536,5.728576
14,0.932557,0.510934,1.754109,6.234782
15,0.933987,0.485387,1.719475,6.746719
16,0.958717,0.486205,1.722021,7.257961
17,0.969957,0.498263,1.746945,7.774589
18,0.967913,0.513795,1.796875,8.291893
19,0.969140,0.533619,1.821173,8.812553
20,0.969548,0.544247,1.832209,9.338905
21,0.969344,0.529736,1.811512,9.861052
22,0.967913,0.538116,1.796875,10.386843
23,0.967709,0.555896,1.821331,10.917080
24,0.971388,0.557736,1.826425,11.451454
25,0.971796,0.561414,1.820610,11.989128
26,0.973227,0.563049,1.811424,12.531103
27,0.973431,0.563458,1.808734,13.070169
28,0.976497,0.555079,1.797614,13.608771
29,0.980789,0.550787,1.793707,14.232959
30,0.981606,0.545882,1.793462,14.856607
31,0.981811,0.544451,1.787052,15.479714
32,0.982015,0.545064,1.785016,16.106093
33,0.984263,0.544247,1.778654,16.734048
34,0.984876,0.546495,1.780867,17.363782
35,0.988146,0.551604,1.780145,17.994882
36,0.987533,0.553239,1.783526,18.622715
37,0.986103,0.554057,1.780311,19.251464
38,0.987942,0.550582,1.767894,19.880420
39,0.988759,0.554670,1.768086,20.509993
40,0.988759,0.553239,1.761885,21.143554
41,0.988351,0.551196,1.752275,21.777085
42,0.991212,0.714286,2.136082,22.479933
