Timestep,CoverageScore
0,0.9379
1,0.9426
2,0.9345
3,0.9371
4,0.9545
5,0.9666
6,0.9715
7,0.9733
8,0.9751
9,0.9743
10,0.9757
11,0.9743
12,0.9719
13,0.9713
14,0.9693
15,0.9697
16,0.9626
17,0.9670
18,0.9640
19,0.9630
20,0.9602
21,0.9596
22,0.9624
23,0.9681
24,0.9677
25,0.9715
26,0.9723
27,0.9731
28,0.9737
29,0.9743
30,0.9729
31,0.9822
32,0.9826
33,0.9788
34,0.9755
35,0.9770
36,0.9753
37,0.9770
38,0.9772
39,0.9767
40,0.9784
41,0.9780
42,0.9765
43,0.9757
44,0.9753
45,0.9774
46,0.9767
47,0.9761
48,0.9776
49,0.9780
50,0.9770
51,0.9776
52,0.9778
53,0.9782
54,0.9788
55,0.9798
56,0.9786
57,0.9842
58,0.9867
59,0.9879
60,0.9871
61,0.9885
62,0.9881
63,0.9881
64,0.9895
65,0.9897
66,0.9881
67,0.9875
68,0.9867
69,0.9873
70,0.9856
71,0.9842
72,0.9854
73,0.9867
74,0.9856
75,0.9850
76,0.9852
77,0.9842
78,0.9832
79,0.9836
80,0.9824
81,0.9840
82,0.9867
83,0.9850
84,0.9863
85,0.9881
86,0.9891
87,0.9887
88,0.9879
89,0.9875
90,0.9873
91,0.9875
92,0.9865
93,0.9887
94,0.9893
95,0.9897
96,0.9883
97,0.9883
98,0.9889
99,0.9897
100,0.9891
101,0.9883
102,0.9881
103,0.9885
104,0.9903
