Timestep,CoverageScore
0,0.3527
1,0.5013
2,0.5383
3,0.4336
4,0.4028
5,0.4037
6,0.4055
7,0.4002
8,0.3993
9,0.4019
10,0.4028
11,0.4099
12,0.4239
13,0.4274
14,0.4142
15,0.4230
16,0.4230
17,0.4424
18,0.4538
19,0.4582
20,0.4213
21,0.3624
22,0.3896
23,0.3571
24,0.3175
25,0.3263
26,0.3448
27,0.3412
28,0.3360
29,0.2955
30,0.2595
31,0.5048
32,0.5048
33,0.5084
34,0.5198
35,0.5233
36,0.5752
37,0.5884
38,0.5365
39,0.5312
40,0.5277
41,0.5409
42,0.5418
43,0.5453
44,0.5365
45,0.5084
46,0.5084
47,0.5048
48,0.5040
49,0.5048
50,0.5013
51,0.5022
52,0.5022
53,0.5048
54,0.5040
55,0.5040
56,0.5040
57,0.5066
58,0.5101
59,0.5119
60,0.5189
61,0.5128
62,0.5031
63,0.5145
64,0.5119
65,0.5198
66,0.5172
67,0.5154
68,0.5189
69,0.5207
70,0.5303
71,0.5409
72,0.5374
73,0.5268
74,0.5339
75,0.5374
76,0.5321
77,0.5374
78,0.5347
79,0.5303
80,0.5339
81,0.5391
82,0.5400
83,0.7265
84,0.7326
85,0.8215
86,0.8250
87,0.8223
88,0.8417
89,0.8593
90,0.8716
91,0.8804
92,0.8901
93,0.8927
94,0.8918
95,0.8830
96,0.8857
97,0.8892
98,0.8918
99,0.9041
100,0.9068
101,0.8962
102,0.9015
103,0.8971
104,0.9006
105,0.9050
106,0.9041
107,0.9006
108,0.8971
109,0.9024
110,0.9094
111,0.9156
112,0.9173
113,0.9103
114,0.9041
115,0.9033
116,0.9085
117,0.9147
118,0.9077
119,0.8997
120,0.9015
121,0.8997
122,0.9085
123,0.9112
124,0.9138
125,0.9323
126,0.9692
127,0.9120
128,0.9560
129,0.9710
130,0.9763
131,0.9736
132,0.9798
133,0.9850
134,0.9912
135,0.9886
136,0.9859
137,0.9877
138,0.9859
139,0.9850
140,0.9850
141,0.9824
142,0.9833
143,0.9859
144,0.9859
145,0.9842
146,0.9842
147,0.9842
148,0.9842
149,0.9833
150,0.9824
151,0.9850
152,0.9877
153,0.9859
154,0.9859
155,0.9868
156,0.9868
157,0.9868
158,0.9868
159,0.9877
160,0.9868
161,0.9859
162,0.9859
163,0.9859
164,0.9886
165,0.9912
166,0.9930
167,0.9903
168,0.9912
169,0.9912
170,0.9886
171,0.9894
172,0.9903
173,0.9921
174,0.9930
175,0.9930
176,0.9930
177,0.9938
178,0.9938
179,0.9938
180,0.9921
181,0.9921
182,0.9921
183,0.9930
184,0.9930
185,0.9912
186,0.9921
187,0.9930
188,0.9930
189,0.9930
190,0.9947
191,0.9947
192,0.9938
193,0.9947
194,0.9947
195,0.9938
196,0.9930
197,0.9938
198,0.9947
199,0.9947
200,0.9947
201,0.9938
202,0.9938
203,0.9938
204,0.9930
205,0.9947
206,0.9947
207,0.9947
208,0.9930
209,0.9921
210,0.9947
211,0.9947
212,0.9938
213,0.9921
214,0.9912
215,0.9921
216,0.9930
217,0.9938
218,0.9938
219,0.9938
220,0.9912
221,0.9903
222,0.9912
223,0.9886
224,0.9903
225,0.9894
226,0.9894
227,0.9912
228,0.9894
229,0.9921
230,0.9930
231,0.9965
