iteration,coverage,redundancy,affinity,time
0,0.725671,0.467937,1.720497,0.182408
1,0.754558,0.437410,1.667662,0.615464
2,0.796353,0.380865,1.565217,0.976845
3,0.835485,0.343782,1.497548,1.335480
4,0.842450,0.292358,1.430204,1.690356
5,0.839377,0.273510,1.402001,2.047435
6,0.829748,0.263471,1.382963,2.405919
7,0.843270,0.265314,1.376336,2.763334
8,0.956771,0.424093,1.568737,3.165847
9,0.935464,0.422454,1.565922,3.694809
10,0.964761,0.485351,1.614143,4.194476
11,0.968449,0.515878,1.637402,4.700145
12,0.937103,0.485966,1.621557,5.205329
13,0.992420,0.522639,1.633361,5.713658
