Timestep,CoverageScore
0,0.8579
1,0.8579
2,0.8583
3,0.8603
4,0.8594
5,0.8638
6,0.8655
7,0.8653
8,0.9331
9,0.9359
10,0.9385
11,0.9450
12,0.9465
13,0.9490
14,0.9513
15,0.9553
16,0.9585
17,0.9596
18,0.9631
19,0.9648
20,0.9655
21,0.9665
22,0.9657
23,0.9670
24,0.9670
25,0.9678
26,0.9652
27,0.9646
28,0.9631
29,0.9633
30,0.9613
31,0.9594
32,0.9657
33,0.9642
34,0.9641
35,0.9631
36,0.9631
37,0.9626
38,0.9650
39,0.9652
40,0.9666
41,0.9681
42,0.9696
43,0.9707
44,0.9707
45,0.9704
46,0.9707
47,0.9722
48,0.9741
49,0.9731
50,0.9746
51,0.9755
52,0.9761
53,0.9759
54,0.9776
55,0.9778
56,0.9781
57,0.9804
