Timestep,CoverageScore
0,0.9383
1,0.9472
2,0.9430
3,0.9405
4,0.9430
5,0.9434
6,0.9426
7,0.9447
8,0.9691
9,0.9689
10,0.9679
11,0.9712
12,0.9737
13,0.9739
14,0.9768
15,0.9745
16,0.9747
17,0.9766
18,0.9737
19,0.9724
20,0.9704
21,0.9712
22,0.9708
23,0.9716
24,0.9702
25,0.9718
26,0.9724
27,0.9704
28,0.9712
29,0.9685
30,0.9693
31,0.9722
32,0.9697
33,0.9677
34,0.9648
35,0.9679
36,0.9755
37,0.9755
38,0.9772
39,0.9774
40,0.9772
41,0.9772
42,0.9764
43,0.9766
44,0.9764
45,0.9764
46,0.9758
47,0.9749
48,0.9751
49,0.9766
50,0.9774
51,0.9778
52,0.9778
53,0.9778
54,0.9778
55,0.9766
56,0.9774
57,0.9760
58,0.9776
59,0.9770
60,0.9774
61,0.9791
62,0.9782
63,0.9785
64,0.9838
65,0.9845
66,0.9845
67,0.9826
68,0.9824
69,0.9824
70,0.9816
71,0.9814
72,0.9803
73,0.9803
74,0.9820
75,0.9807
76,0.9803
77,0.9807
78,0.9795
79,0.9793
80,0.9793
81,0.9799
82,0.9805
83,0.9803
84,0.9801
85,0.9818
86,0.9811
87,0.9805
88,0.9811
89,0.9797
90,0.9814
91,0.9809
92,0.9855
93,0.9884
94,0.9878
95,0.9882
96,0.9882
97,0.9878
98,0.9888
99,0.9884
100,0.9882
101,0.9890
102,0.9878
103,0.9869
104,0.9863
105,0.9857
106,0.9857
107,0.9859
108,0.9861
109,0.9863
110,0.9857
111,0.9865
112,0.9855
113,0.9851
114,0.9855
115,0.9847
116,0.9855
117,0.9851
118,0.9857
119,0.9857
120,0.9863
121,0.9851
122,0.9861
123,0.9863
124,0.9861
125,0.9863
126,0.9884
127,0.9886
128,0.9892
129,0.9892
130,0.9888
131,0.9890
132,0.9894
133,0.9892
134,0.9894
135,0.9890
136,0.9896
137,0.9896
138,0.9898
139,0.9907
