Timestep,CoverageScore
0,0.8905
1,0.9040
2,0.9203
3,0.9327
4,0.9395
5,0.9399
6,0.9380
7,0.9372
8,0.9444
9,0.9386
10,0.9409
11,0.9388
12,0.9417
13,0.9452
14,0.9486
15,0.9488
16,0.9482
17,0.9486
18,0.9478
19,0.9472
20,0.9480
21,0.9486
22,0.9484
23,0.9497
24,0.9509
25,0.9515
26,0.9517
27,0.9537
28,0.9537
29,0.9529
30,0.9584
31,0.9629
32,0.9654
33,0.9672
34,0.9668
35,0.9684
36,0.9676
37,0.9688
38,0.9696
39,0.9698
40,0.9702
41,0.9717
42,0.9713
43,0.9717
44,0.9713
45,0.9719
46,0.9715
47,0.9715
48,0.9713
49,0.9731
50,0.9717
51,0.9729
52,0.9727
53,0.9733
54,0.9719
55,0.9725
56,0.9733
57,0.9747
58,0.9776
59,0.9778
60,0.9780
61,0.9778
62,0.9788
63,0.9788
64,0.9790
65,0.9808
