iteration,coverage,redundancy,affinity,time
144,0.982624,0.447437,1.538462,26.718384
145,0.980886,0.450043,1.548273,27.016288
146,0.980886,0.446568,1.550044,27.318068
147,0.980886,0.445699,1.550044,27.628154
148,0.978280,0.438749,1.545293,27.934229
149,0.972198,0.441355,1.551385,28.239636
150,0.973936,0.444831,1.552186,28.544332
151,0.973067,0.443093,1.550000,28.846753
152,0.976542,0.440487,1.548043,29.154989
153,0.974805,0.437011,1.546346,29.464570
154,0.976542,0.445699,1.553381,29.768591
155,0.978280,0.443962,1.551510,30.075929
156,0.976542,0.687228,1.983986,30.392125
157,0.983493,0.713293,2.008834,30.722459
158,0.990443,0.711555,1.956140,31.054422
159,0.989574,0.727194,1.975417,31.959771
160,0.986099,0.701998,1.950661,32.292222
161,0.992181,0.732407,1.986865,32.625975
162,0.993050,0.741095,1.993001,32.964774
163,0.990443,0.740226,1.994737,33.304014
164,0.992181,0.743701,2.001751,33.661996
165,0.993050,0.740226,2.002625,34.001648
166,0.991312,0.735013,1.999124,34.346323
167,0.987837,0.749783,2.016711,34.688825
168,0.992181,0.749783,2.000876,35.032291
169,0.992181,0.741095,1.987741,35.381372
170,0.993050,0.748045,1.989501,35.734419
171,0.994787,0.772372,2.036681,36.084382
172,0.995656,0.776716,2.059337,36.432495
