Timestep,CoverageScore
0,0.9349
1,0.9457
2,0.9503
3,0.9522
4,0.9518
5,0.9559
6,0.9592
7,0.9592
8,0.9638
9,0.9630
10,0.9615
11,0.9636
12,0.9644
13,0.9626
14,0.9642
15,0.9663
16,0.9640
17,0.9642
18,0.9632
19,0.9657
20,0.9669
21,0.9665
22,0.9665
23,0.9651
24,0.9624
25,0.9603
26,0.9630
27,0.9628
28,0.9632
29,0.9636
30,0.9619
31,0.9592
32,0.9667
33,0.9663
34,0.9703
35,0.9711
36,0.9709
37,0.9686
38,0.9690
39,0.9709
40,0.9696
41,0.9669
42,0.9684
43,0.9688
44,0.9705
45,0.9713
46,0.9726
47,0.9726
48,0.9717
49,0.9728
50,0.9736
51,0.9757
52,0.9757
53,0.9759
54,0.9730
55,0.9736
56,0.9709
57,0.9723
58,0.9748
59,0.9755
60,0.9813
61,0.9821
62,0.9821
63,0.9842
64,0.9829
65,0.9840
66,0.9844
67,0.9829
68,0.9832
69,0.9823
70,0.9832
71,0.9840
72,0.9815
73,0.9823
74,0.9825
75,0.9825
76,0.9848
77,0.9848
78,0.9829
79,0.9846
80,0.9850
81,0.9852
82,0.9844
83,0.9854
84,0.9850
85,0.9829
86,0.9823
87,0.9823
88,0.9890
89,0.9892
90,0.9892
91,0.9881
92,0.9888
93,0.9890
94,0.9890
95,0.9888
96,0.9888
97,0.9890
98,0.9888
99,0.9886
100,0.9881
101,0.9881
102,0.9890
103,0.9888
104,0.9886
105,0.9884
106,0.9881
107,0.9886
108,0.9886
109,0.9879
110,0.9886
111,0.9884
112,0.9886
113,0.9884
114,0.9888
115,0.9888
116,0.9886
117,0.9890
118,0.9890
119,0.9886
120,0.9892
121,0.9894
122,0.9888
123,0.9879
124,0.9877
125,0.9879
126,0.9879
127,0.9879
128,0.9879
129,0.9888
130,0.9890
131,0.9894
132,0.9890
133,0.9888
134,0.9888
135,0.9890
136,0.9890
137,0.9892
138,0.9892
139,0.9894
140,0.9900
